id,card_name,display_name,card_set,card_type,effect_text,flavor_text,source_file
N.I.N.E.,N.I.N.E.,N.I.N.E.,promo,Hero,"Gain 2R.
",,promo_cards.lua
Tinkering Monk,Tinkering Monk,Tinkering Monk,promo,Hero,"Gain 2R.
",,promo_cards.lua
Ethereal Huntress,Ethereal Huntress,Ethereal Huntress,promo,Hero,"Gain 3P.
",,promo_cards.lua
Chaos Rider,Chaos Rider,Chaos Rider,promo,Hero,"Gain 3P.
",,promo_cards.lua
"Nova, Born of Chaos","Nova, Born of Chaos","Nova, Born of Chaos",promo,Monster,Reward: All players return all honor tokens to the honor pool. ,,promo_cards.lua
Stone Blade Templar,Stone Blade Templar,Stone Blade Templar,promo,Hero,"Reveal and banish the top card of the Center Deck. If its faction is:
",,promo_cards.lua
Spire of the Wind,Spire of the Wind,Spire of the Wind,promo,Construct,"Once per turn, you may discard card from your hand to draw a card.",,promo_cards.lua
Seed of the World,Seed of the World,Seed of the World,promo,Construct,"Once per turn, when you acquire a Hero in the Center Row,",,promo_cards.lua
Chaotic Cannon,Chaotic Cannon,Chaotic Cannon,promo,Construct,"Once per turn, discard the top card of your deck to gain Power equal to its Honor value.",,promo_cards.lua
The Aethermourne,The Aethermourne,The Aethermourne,promo,Construct,"Once per turn, gain Power equal to the number of Monsters in the Center Row.",,promo_cards.lua
Puggageddon,Puggageddon,Puggageddon,promo,Monster,Reward: Gain 2 Honor. Put this into another player's discard pile. ,,promo_cards.lua
Twilight Scout,Twilight Scout,Twilight Scout,WoS,Hero,"Draw a card.
",,set10_cards.lua
Inspired Templar,Inspired Templar,Inspired Templar,WoS,Hero,"Defeat a Monster with cost 4P or less without paying its cost.
",,set10_cards.lua
Pillar of Resolve,Pillar of Resolve,Pillar of Resolve,WoS,Construct,"Once per turn, if you have played a Mystic and a Heavy Infantry, draw two cards.",,set10_cards.lua
"Ta'hyr, the Sun","Ta'hyr, the Sun","Ta'hyr, the Sun",WoS,Hero,"If all cards in the center row are DAY cards, ",,set10_cards.lua
Shrine Attendant,Shrine Attendant,Shrine Attendant,WoS,Hero,Add a Mystic or Heavy Infantry to your hand.,,set10_cards.lua
Searing Askara,Searing Askara,Searing Askara,WoS,Hero,Banish a card in the center row. ,,set10_cards.lua
Arha Historian,Arha Historian,Arha Historian,WoS,Hero,Draw a card. ,,set10_cards.lua
Bringer of Hope,Bringer of Hope,Bringer of Hope,WoS,Hero,Banish a card in your hand. ,,set10_cards.lua
Sunstreak Courier,Sunstreak Courier,Sunstreak Courier,WoS,Hero,Gain 1R and 1P.,,set10_cards.lua
Everbloom Witch,Everbloom Witch,Everbloom Witch,WoS,Hero,"Gain 3H.
",,set10_cards.lua
Marsh Ranger,Marsh Ranger,Marsh Ranger,WoS,Hero,"Gain 1R and 1H. Draw a card.
",,set10_cards.lua
"Vyrak, the First","Vyrak, the First","Vyrak, the First",WoS,Hero,"You may spend P as R to acquire this.
",,set10_cards.lua
Lunar Guardian,Lunar Guardian,Lunar Guardian,WoS,Hero,"Gain 2R.
",,set10_cards.lua
Verdant Chanter,Verdant Chanter,Verdant Chanter,WoS,Hero,"Gain 2R.
",,set10_cards.lua
Map of the Stars,Map of the Stars,Map of the Stars,WoS,Construct,"Once per turn, gain 1R and 1P.",,set10_cards.lua
"Luro, the Hunter","Luro, the Hunter","Luro, the Hunter",WoS,Hero,"Gain 3R.
",,set10_cards.lua
Solar Sentry,Solar Sentry,Solar Sentry,WoS,Hero,"Gain 2R.
",,set10_cards.lua
Sureshot Tracker,Sureshot Tracker,Sureshot Tracker,WoS,Hero,"Gain 2P.
",,set10_cards.lua
Foundry Hound,Foundry Hound,Foundry Hound,WoS,Construct,"Once per turn, if you play a Mechana Contruct ",,set10_cards.lua
Watchtower Golem,Watchtower Golem,Watchtower Golem,WoS,Construct,"Once per turn, if you play a Mechana Contruct ",,set10_cards.lua
Wrecklamax,Wrecklamax,Wrecklamax,WoS,Construct,"Once per turn, if you play a Mechana Contruct ",,set10_cards.lua
Illuminator,Illuminator,Illuminator,WoS,Construct,"DAY: Once per turn, gain 1R and 1P ",,set10_cards.lua
Flare Tracker,Flare Tracker,Flare Tracker,WoS,Hero,"Gain 2R.
",,set10_cards.lua
Rescuebot 505,Rescuebot 505,Rescuebot 505,WoS,Construct,"When you acquire this and it is Day, put it directly into play.
",,set10_cards.lua
Shade Converter,Shade Converter,Shade Converter,WoS,Construct,"If you control three or more Mechana Constructs, ",,set10_cards.lua
Dogs of War,Dogs of War,Dogs of War,WoS,Hero,"Gain 1P.
",,set10_cards.lua
Riftwatch Outpost,Riftwatch Outpost,Riftwatch Outpost,WoS,Construct,"Once per turn, gain 1P.
",,set10_cards.lua
Deadeye Assassin,Deadeye Assassin,Deadeye Assassin,WoS,Hero,"Gain 3P.
",,set10_cards.lua
Dark Gladiator,Dark Gladiator,Dark Gladiator,WoS,Hero,"Gain 2P.
",,set10_cards.lua
Dread Conjurer,Dread Conjurer,Dread Conjurer,WoS,Hero,"Draw a card.
",,set10_cards.lua
Wartorn Arbiter,Wartorn Arbiter,Wartorn Arbiter,WoS,Hero,Gain 1P. ,,set10_cards.lua
Shade of Sadranis,Shade of Sadranis,Shade of Sadranis,WoS,Hero,"Gain 4P.
",,set10_cards.lua
"Isha, the Pursuer","Isha, the Pursuer","Isha, the Pursuer",WoS,Hero,"Gain 3P.
",,set10_cards.lua
Shardwing Beetle,Shardwing Beetle,Shardwing Beetle,WoS,Monster,"Reward: Gain 3H.
",,set10_cards.lua
Deceitful Ghoul,Deceitful Ghoul,Deceitful Ghoul,WoS,Monster,"Reward: Gain 2H.
",,set10_cards.lua
Scavenger Ants,Scavenger Ants,Scavenger Ants,WoS,Monster,"Reward: Gain 4H.
",,set10_cards.lua
Emberwing Moth,Emberwing Moth,Emberwing Moth,WoS,Monster,"Reward: Gain 5H.
",,set10_cards.lua
Cavern Creeper,Cavern Creeper,Cavern Creeper,WoS,Monster,Reward: Gain 1H and 1R.,,set10_cards.lua
Shade Viper,Shade Viper,Shade Viper,WoS,Monster,"Reward: Gain 2H.
",,set10_cards.lua
Light of False Hope,Light of False Hope,Light of False Hope,WoS,Monster,"Reward: Gain 4H.
",,set10_cards.lua
Lieutenant Duros,Lieutenant Duros,Lieutenant Duros,WoS,Monster,"Reward: Gain 4H.
",,set10_cards.lua
Legion of Aklys,Legion of Aklys,Legion of Aklys,WoS,Monster,"If all cards in the center row are NIGHT cards, ",,set10_cards.lua
"Aklys, the Scourge","Aklys, the Scourge","Aklys, the Scourge",WoS,Monster,"Reward: Gain 6H.
",,set10_cards.lua
Dhartha's Trial,Dhartha's Trial,Dhartha's Trial,GotE,Event,"Once per turn, if you have played a Mystic or Heavy Infantry, draw a card.
",,set11_cards.lua
"Dhartha, Eternal Seer","Dhartha, Eternal Seer","Dhartha, Eternal Seer",GotE,Hero,Draw four cards.,,set11_cards.lua
Radiant Aspirant,Radiant Aspirant,Radiant Aspirant,GotE,Hero,"EMPOWER
",,set11_cards.lua
Water Elemental,Water Elemental,Water Elemental,GotE,Hero,"Draw a card.
",,set11_cards.lua
Sister of the Wind,Sister of the Wind,Sister of the Wind,GotE,Hero,Banish Sister of the Wind and a card in your hand. ,,set11_cards.lua
Yuk Tribe Outcast,Yuk Tribe Outcast,Yuk Tribe Outcast,GotE,Hero,"Draw a card.
",,set11_cards.lua
Thunder Templar,Thunder Templar,Thunder Templar,GotE,Hero,"EMPOWER
",,set11_cards.lua
Whirlwind Ascetic,Whirlwind Ascetic,Whirlwind Ascetic,GotE,Hero,"Draw three cards, then discard two cards. ",,set11_cards.lua
Brother Laias,Brother Laias,Brother Laias,GotE,Hero,"EMPOWER
",,set11_cards.lua
"Sonny, Lightwielder","Sonny, Lightwielder","Sonny, Lightwielder",GotE,Hero,"EMPOWER
",,set11_cards.lua
Piercing Eye,Piercing Eye,Piercing Eye,GotE,Construct,"Once per turn, if you have defeated a Monster in the center row, ",,set11_cards.lua
Temple of the Wind,Temple of the Wind,Temple of the Wind,GotE,Construct,"Once per turn, you may banish a card in your discard pile ",,set11_cards.lua
Cetra's Trial,Cetra's Trial,Cetra's Trial,GotE,Event,"Heroes in the center row cost 1R less to acquire (to a minimum of 1R).
",,set11_cards.lua
"Cetra, Celestial Body","Cetra, Celestial Body","Cetra, Celestial Body",GotE,Hero,Gain H equal to the total H of all Heroes and Constructs in the center row.,,set11_cards.lua
Keen-eyed Aspirant,Keen-eyed Aspirant,Keen-eyed Aspirant,GotE,Hero,"EMPOWER
",,set11_cards.lua
Thicket Familiar,Thicket Familiar,Thicket Familiar,GotE,Hero,"EMPOWER
",,set11_cards.lua
Verdant Elemental,Verdant Elemental,Verdant Elemental,GotE,Hero,"Gain 3H.
",,set11_cards.lua
Flourishing Druidess,Flourishing Druidess,Flourishing Druidess,GotE,Hero,"EMPOWER
",,set11_cards.lua
"Kiri, Meadow Witch","Kiri, Meadow Witch","Kiri, Meadow Witch",GotE,Hero,"Draw a card.
",,set11_cards.lua
Hearthglow Clique,Hearthglow Clique,Hearthglow Clique,GotE,Hero,"EMPOWER
",,set11_cards.lua
Earthmender Pura,Earthmender Pura,Earthmender Pura,GotE,Hero,"Gain 3R.
",,set11_cards.lua
Wildbark Mail,Wildbark Mail,Wildbark Mail,GotE,Construct,"Once per turn, if you have defeated a Monster in the center row, gain 2H.",,set11_cards.lua
Temple of Heroes,Temple of Heroes,Temple of Heroes,GotE,Construct,"Once per turn, if you have played a Lifebound Hero or Monster, gain 2H.",,set11_cards.lua
Reysa's Trial,Reysa's Trial,Reysa's Trial,GotE,Event,"Constructs in the center row cost 1R less to acquire (to a minimum of 1R).
",,set11_cards.lua
Forgemother Reysa,Forgemother Reysa,Forgemother Reysa,GotE,Hero,Choose one: Draw a card OR acquire any number of Constructs ,,set11_cards.lua
Innovative Aspirant,Innovative Aspirant,Innovative Aspirant,GotE,Hero,"EMPOWER
",,set11_cards.lua
Scrap Weaver,Scrap Weaver,Scrap Weaver,GotE,Hero,"Draw a card.
",,set11_cards.lua
Iron Elemental,Iron Elemental,Iron Elemental,GotE,Hero,"Gain 2R.
",,set11_cards.lua
Conduit Monk,Conduit Monk,Conduit Monk,GotE,Hero,"EMPOWER
",,set11_cards.lua
Elemental Projector,Elemental Projector,Elemental Projector,GotE,Construct,"Once per turn, if you control two or more Mechana Constructs, gain 2P.",,set11_cards.lua
Processing Hub,Processing Hub,Processing Hub,GotE,Construct,"Once per turn, if you control three or more Mechana Constructs, gain 2R.",,set11_cards.lua
Spire of Insight,Spire of Insight,Spire of Insight,GotE,Construct,"Once per turn, if you control four or more Mechana Constructs, you may draw two cards.",,set11_cards.lua
Blast Goggles,Blast Goggles,Blast Goggles,GotE,Construct,"Once per turn, if you control five or more Mechana Constructs, gain 5H.",,set11_cards.lua
Cell Block E,Cell Block E,Cell Block E,GotE,Construct,"When you defeat a Monster in the center row or play a Monster, ",,set11_cards.lua
P.R.I.M.E. Directive,P.R.I.M.E. Directive,P.R.I.M.E. Directive,GotE,Construct,"If you control eight or more Mechana Constructs, you win the game.",,set11_cards.lua
Emri's Trial,Emri's Trial,Emri's Trial,GotE,Event,"Monsters in the center row cost 1P less to defeat (to a minimum of 1P).
",,set11_cards.lua
"Emri, Born of Battle","Emri, Born of Battle","Emri, Born of Battle",GotE,Hero,"Gain 4P.
",,set11_cards.lua
Deranged Aspirant,Deranged Aspirant,Deranged Aspirant,GotE,Hero,"EMPOWER
",,set11_cards.lua
Shadow Elemental,Shadow Elemental,Shadow Elemental,GotE,Hero,"Gain 2P.
",,set11_cards.lua
Patient Assassin,Patient Assassin,Patient Assassin,GotE,Hero,"Gain 2P.
",,set11_cards.lua
Venom Priestess,Venom Priestess,Venom Priestess,GotE,Hero,"Gain 2P.
",,set11_cards.lua
Voidrift Stalker,Voidrift Stalker,Voidrift Stalker,GotE,Hero,"EMPOWER
",,set11_cards.lua
Grand-Arbiter Todd,Grand-Arbiter Todd,Grand-Arbiter Todd,GotE,Hero,"EMPOWER
",,set11_cards.lua
"Ulan, the Crusher","Ulan, the Crusher","Ulan, the Crusher",GotE,Hero,"EMPOWER
",,set11_cards.lua
Madness' Embrace,Madness' Embrace,Madness' Embrace,GotE,Construct,"Once per turn, if you have defeated a Monster in the center row, ",,set11_cards.lua
Oblivion Blossoms,Oblivion Blossoms,Oblivion Blossoms,GotE,Construct,"Once per turn, gain 1P.
",,set11_cards.lua
Ulan's Fist,Ulan's Fist,Ulan's Fist,GotE,Construct,"Once per turn, gain 2P.
",,set11_cards.lua
Xeron's Trial,Xeron's Trial,Xeron's Trial,GotE,Event,"When you play a Monster, gain 2P.
",,set11_cards.lua
"Xeron, False Ally","Xeron, False Ally","Xeron, False Ally",GotE,Hero,"Gain 5R.
",,set11_cards.lua
Nom Tribe Gremlin,Nom Tribe Gremlin,Nom Tribe Gremlin,GotE,Monster,"Reward: Gain 1H.
",,set11_cards.lua
Yuk Tribe Gremlin,Yuk Tribe Gremlin,Yuk Tribe Gremlin,GotE,Monster,"Reward: Gain 1H.
",,set11_cards.lua
Bam Tribe Gremlins,Bam Tribe Gremlins,Bam Tribe Gremlins,GotE,Monster,"Reward: Gain 2H.
",,set11_cards.lua
Bramble Elemental,Bramble Elemental,Bramble Elemental,GotE,Monster,"Reward: Gain 5H.
",,set11_cards.lua
Wildfire Elemental,Wildfire Elemental,Wildfire Elemental,GotE,Monster,"Reward: Gain 4H.
",,set11_cards.lua
Unspeakable Doom,Unspeakable Doom,Unspeakable Doom,GotE,Monster,"Reward: Gain 5H.
",,set11_cards.lua
Tectonic Thrasher,Tectonic Thrasher,Tectonic Thrasher,GotE,Monster,"Reward: Gain 4H.
",,set11_cards.lua
Static Elemental,Static Elemental,Static Elemental,GotE,Monster,"Reward: Gain 5H.
",,set11_cards.lua
Eek Tribe Gremlin,Eek Tribe Gremlin,Eek Tribe Gremlin,GotE,Monster,"Reward: Gain 5H.
",,set11_cards.lua
"Yur, Eye of Chaos","Yur, Eye of Chaos","Yur, Eye of Chaos",GotE,Monster,"Reward: Gain 4H.
",,set11_cards.lua
Deluge Elemental,Deluge Elemental,Deluge Elemental,GotE,Monster,"Reward: Gain 6H.
",,set11_cards.lua
Temple of Life,Temple of Life,Temple of Life,VotA,Temple,1L: Gain control of the Temple of Immortality. Gain 2R.,,set12_cards.lua
Temple of Death,Temple of Death,Temple of Death,VotA,Temple,1D: Gain control of the Temple of Immortality. ,,set12_cards.lua
Temple of Immortality,Temple of Immortality,Temple of Immortality,VotA,Temple,"Once per turn, choose a faction. ",,set12_cards.lua
Blind Seer,Blind Seer,Blind Seer,VotA,Hero,"Draw a card.
",,set12_cards.lua
Ominous Augur,Ominous Augur,Ominous Augur,VotA,Hero,"Acquire a Hero or Construct with cost 5R or less without paying its cost.
",,set12_cards.lua
Jubilant Monk,Jubilant Monk,Jubilant Monk,VotA,Hero,Reveal the top card of your deck and put it into your hand. ,,set12_cards.lua
Keeper of Secrets,Keeper of Secrets,Keeper of Secrets,VotA,Hero,"Banish a card in your hand and replace it with a Mystic or Heavy Infantry.
",,set12_cards.lua
Fist of the Dragon,Fist of the Dragon,Fist of the Dragon,VotA,Hero,Draw a card. Banish a card in the center row. ,,set12_cards.lua
Flanking Askara,Flanking Askara,Flanking Askara,VotA,Hero,"Draw a card.
",,set12_cards.lua
"Isla, Serene Prodigy","Isla, Serene Prodigy","Isla, Serene Prodigy",VotA,Hero,"Acquire a Hero or Construct in the center row without paying its cost.
",,set12_cards.lua
Sacred Pot,Sacred Pot,Sacred Pot,VotA,Construct,"Serenity: Once per turn, draw a card. ",,set12_cards.lua
Templar Outpost,Templar Outpost,Templar Outpost,VotA,Construct,"Once per turn, defeat a Monster in the center row with cost 4P or less without paying its cost.",,set12_cards.lua
Ancient Stag,Ancient Stag,Ancient Stag,VotA,Hero,"Gain 3H.
",,set12_cards.lua
Cheerful Consort,Cheerful Consort,Cheerful Consort,VotA,Hero,"Gain 1H.
",,set12_cards.lua
Alosyan Guide,Alosyan Guide,Alosyan Guide,VotA,Hero,"When you acquire this, if you have played a Lifebound Hero this turn, ",,set12_cards.lua
Sirewood Elder,Sirewood Elder,Sirewood Elder,VotA,Hero,"Gain 2R.
",,set12_cards.lua
Burial Guardian,Burial Guardian,Burial Guardian,VotA,Hero,"Gain 2R.
",,set12_cards.lua
Qadim Stalker,Qadim Stalker,Qadim Stalker,VotA,Hero,"Gain 2R and 2P.
",,set12_cards.lua
Caretaker Zahral,Caretaker Zahral,Caretaker Zahral,VotA,Hero,"Gain 3R.
",,set12_cards.lua
"Asalas, the Impaler","Asalas, the Impaler","Asalas, the Impaler",VotA,Hero,"Gain 2R.
",,set12_cards.lua
Pathfinder's Totem,Pathfinder's Totem,Pathfinder's Totem,VotA,Construct,"Unite: Once per turn, gain 1R. ",,set12_cards.lua
Resourceful Trader,Resourceful Trader,Resourceful Trader,VotA,Hero,"Draw a card.
",,set12_cards.lua
Brother Marius,Brother Marius,Brother Marius,VotA,Hero,"Gain 1R.
",,set12_cards.lua
Excavator Pilot,Excavator Pilot,Excavator Pilot,VotA,Hero,"Gain 2R.
",,set12_cards.lua
Salvagemaster Mila,Salvagemaster Mila,Salvagemaster Mila,VotA,Hero,"Gain 4R.
",,set12_cards.lua
Forgemaster's Suit,Forgemaster's Suit,Forgemaster's Suit,VotA,Construct,"Once per turn, when you play a Mechana Construct (including this one) ",,set12_cards.lua
Stormsmith Anvil,Stormsmith Anvil,Stormsmith Anvil,VotA,Construct,"Once per turn, when you play a Mechana Construct (including this one) ",,set12_cards.lua
Siegemaster's Ram,Siegemaster's Ram,Siegemaster's Ram,VotA,Construct,"Once per turn, when you play a Mechana Construct (including this one) ",,set12_cards.lua
K-YL3 Repairbot,K-YL3 Repairbot,K-YL3 Repairbot,VotA,Construct,"Once per turn, when you play a Mechana Construct (including this one) ",,set12_cards.lua
"Tyranyx, the Pillager","Tyranyx, the Pillager","Tyranyx, the Pillager",VotA,Construct,"You may spend P in addition to R to acquire this.
",,set12_cards.lua
Reckless Excavator,Reckless Excavator,Reckless Excavator,VotA,Construct,"Once per turn, when you play a Mechana Construct (including this one), gain 1L or 1D.",,set12_cards.lua
Shadowridge Scout,Shadowridge Scout,Shadowridge Scout,VotA,Hero,"Gain 2P.
",,set12_cards.lua
Spiteful Gladiator,Spiteful Gladiator,Spiteful Gladiator,VotA,Hero,"Gain 2P.
",,set12_cards.lua
Excavation Sentry,Excavation Sentry,Excavation Sentry,VotA,Hero,"Gain 2P.
",,set12_cards.lua
Soulsnare Hunter,Soulsnare Hunter,Soulsnare Hunter,VotA,Hero,"Gain 2P.
",,set12_cards.lua
Silenced Prophet,Silenced Prophet,Silenced Prophet,VotA,Hero,"Draw a card.
",,set12_cards.lua
Endbringer Jora,Endbringer Jora,Endbringer Jora,VotA,Hero,"Gain 3P.
",,set12_cards.lua
"Randall, Umbral Sage","Randall, Umbral Sage","Randall, Umbral Sage",VotA,Hero,"Gain 3P.
",,set12_cards.lua
Beacon of the Lost,Beacon of the Lost,Beacon of the Lost,VotA,Construct,"Echo: Once per turn, gain 1P. ",,set12_cards.lua
Deranged Dirge,Deranged Dirge,Deranged Dirge,VotA,Construct,"Once per turn, gain 1P.
",,set12_cards.lua
Cavern Horror,Cavern Horror,Cavern Horror,VotA,Monster,Reward: Gain 1H. You may shuffle your discard pile into your deck. ,,set12_cards.lua
Hellfrost Imps,Hellfrost Imps,Hellfrost Imps,VotA,Monster,Reward: Gain 2H. You may defeat a Monster in the center row named Hellfrost Imps without paying its cost.,,set12_cards.lua
Crypt Lurker,Crypt Lurker,Crypt Lurker,VotA,Monster,Reward: Gain 3H. Gain 1D.,,set12_cards.lua
Starved Abomination,Starved Abomination,Starved Abomination,VotA,Monster,Reward: Gain 3H. Gain 1L.,,set12_cards.lua
Death's Widow,Death's Widow,Death's Widow,VotA,Monster,Reward: Gain 2H. Each opponent must destroy a Construct they control. ,,set12_cards.lua
Grave Golem,Grave Golem,Grave Golem,VotA,Monster,Reward: Gain 4H. Each opponent reveals the top card of their deck ,,set12_cards.lua
Iku's Minions,Iku's Minions,Iku's Minions,VotA,Monster,"This costs 2 less to defeat if you control a Temple.
",,set12_cards.lua
Mutated Scavenger,Mutated Scavenger,Mutated Scavenger,VotA,Monster,Reward: Gain 4H. Gain 5R.,,set12_cards.lua
"Kan'zir, the Ravager","Kan'zir, the Ravager","Kan'zir, the Ravager",VotA,Monster,Reward: Gain 5H. Each opponent loses control of all Temples and destroys all Constructs they control.,,set12_cards.lua
"Hurras, Sea's Fury","Hurras, Sea's Fury","Hurras, Sea's Fury",VotA,Monster,Reward: Gain 4H. Gain 1L and 1D.,,set12_cards.lua
"Iku, Valley Tyrant","Iku, Valley Tyrant","Iku, Valley Tyrant",VotA,Monster,"This costs 2P less to defeat for each Temple you control.
",,set12_cards.lua
Dreamscape Diviner,Dreamscape Diviner,Dreamscape Diviner,Del,Hero,Gain 2I.,Are you sure you want to know?,set13_cards.lua
Dimension Monk,Dimension Monk,Dimension Monk,Del,Hero,"Draw a card.
",,set13_cards.lua
Aegis Knight,Aegis Knight,Aegis Knight,Del,Hero,Banish a card in your hand or discard pile. ,,set13_cards.lua
Dream Dealer,Dream Dealer,Dream Dealer,Del,Hero,"Draw a card, then banish a card in the center row. ",,set13_cards.lua
Templar General,Templar General,Templar General,Del,Hero,"Defeat a Monster with cost 4P or less without paying its cost.
",,set13_cards.lua
Divine Askara,Divine Askara,Divine Askara,Del,Hero,"Copy the effect of a Hero played this turn.
",,set13_cards.lua
"Loa, Dream Dragon","Loa, Dream Dragon","Loa, Dream Dragon",Del,Hero,Roll the Delirium Die.,"His spirit, manifest through the Dreamscape.",set13_cards.lua
"Emri, Lightbringer","Emri, Lightbringer","Emri, Lightbringer",Del,Hero,Defeat a Monster in the center row or the void without paying its cost. ,,set13_cards.lua
