set,go_name,en,norm,from_card
cotg,TMP Body Text,"The game ends when a certain amount of Honor has been earned, depending on the number of players.	
<align=center>
2 Players = <sprite=77> Honor   3 Players = <sprite=78> Honor   4 Players = <sprite=79> Honor<br></align><br>When the final Honor point is earned, the game ends at the end of the current round (after the last player to start the game takes a turn).  Thus, each player will play the same number of turns during the course of the game and may still gain Honor even when the Honor pool is depleted.<br><br>Cards in each player's deck are also worth Honor points, indicated by the number in the Honor symbol (<sprite=64>) in the bottom left corner of each card.  When the game is over, all Honor points from Heroes and Constructs in your deck and hand are added to the Honor you gained during the game.  The player with the most total Honor is the winner!<br><br>If multiple players have the same number of Honor Points, the last player to start wins (i.e., the starting player loses all ties, the second player loses to the third and fouth, etc.).<br><br>","The game ends when a certain amount of Honor has been earned, depending on the number of players.

<align=center>
2 Players = <sprite=77> Honor   3 Players = <sprite=78> Honor   4 Players = <sprite=79> Honor<br></align><br>When the final Honor point is earned, the game ends at the end of the current round (after the last player to start the game takes a turn).  Thus, each player will play the same number of turns during the course of the game and may still gain Honor even when the Honor pool is depleted.<br><br>

Cards in each player's deck are also worth Honor points, indicated by the number in the Honor symbol (<sprite=64>) in the bottom left corner of each card.  When the game is over, all Honor points from Heroes and Constructs in your deck and hand are added to the Honor you gained during the game.  The player with the most total Honor is the winner!<br><br>If multiple players have the same number of Honor Points, the last player to start wins (i.e., the starting player loses all ties, the second player loses to the third and fouth, etc.).<br><br>",
cotg,TMP Text,Game End:,Game End:,
cotg,TMP Body Text,"<margin-right=8em>To defeat a Monster, you must have enough Power.  You may defeat any number of Monsters as long as you have enough Power.  Cards that are eligible to be defeated will glow red. 



","<margin-right=8em>To defeat a Monster, you must have enough Power.  You may defeat any number of Monsters as long as you have enough Power.  Cards that are eligible to be defeated will glow red.",
cotg,TMP Rules Text,"
<size=64><align=center>Reward: <sprite=65></align></size>

(The Cultist does not go to the void when defeated. You can defeat the Cultist any number of times each turn.)

","<size=64><align=center>Reward: <sprite=65></align></size>

(The Cultist does not go to the void when defeated. You can defeat the Cultist any number of times each turn.)",
cotg,TMP Rules Text,"<align=center>Reward: <sprite=65></align></size>

(The Cultist does not go to the void when defeated. You can defeat the Cultist any number of times each turn.)

","<align=center>Reward: <sprite=65></align></size>

(The Cultist does not go to the void when defeated. You can defeat the Cultist any number of times each turn.)",
cotg,TMP Title,ultist,ultist,
cotg,TMP Text,Defeating Monsters:,Defeating Monsters:,
cotg,TMP Body Text,"<margin-right=8em>You need Runes to acquire Heroes and Constructs.  Runes come from Heroes played from your hand or from Constructs you have in play.  You may acquire any number of cards as long as you have enough Runes.  Cards that are eligible to be acquired will glow green.

","<margin-right=8em>
You need Runes to acquire Heroes and Constructs.  Runes come from Heroes played from your hand or from Constructs you have in play.  You may acquire any number of cards as long as you have enough Runes.  Cards that are eligible to be acquired will glow green.",
cotg,TMP Class Text,Hero,Hero,
cotg,TMP Title,ystic,ystic,
cotg,TMP Text,Acquiring Heroes and Constructs:,Acquiring Heroes and Constructs:,
cotg,TMP Body Text,"1. <indent=4%>Play cards from your hand to gain Runes, Power, and Honor.  Acquire Heroes and Constructs for future turns.  Defeat Monsters for Honor and rewards.</indent>

2. <indent=4%>After you are done acquiring Heroes and Constructs and defeating Monsters, all cards in your hand are placed into your discard pile.</indent>

3. <indent=4%>You are dealt five cards from your personal deck to replenish your hand.  If you run out of cards, your discard pile will automatically be shuffled and the cards will be moved to your personal deck.</indent>

","1. <indent=4%>Play cards from your hand to gain Runes, Power, and Honor.  Acquire Heroes and Constructs for future turns.  Defeat Monsters for Honor and rewards.

</indent>

2. <indent=4%>After you are done acquiring Heroes and Constructs and defeating Monsters, all cards in your hand are placed into your discard pile.

</indent>

3. <indent=4%>You are dealt five cards from your personal deck to replenish your hand.  If you run out of cards, your discard pile will automatically be shuffled and the cards will be moved to your personal deck.

</indent>",
cotg,TMP Text,Play Order:,Play Order:,
cotg,TMP Honor Text,"<indent=4em><b>HONOR:</b> Honor is the key to victory in Ascension.  Whoever earns the most Honor throughout the game wins and earns the title of Godslayer! 

",<indent=4em><b>HONOR:</b> Honor is the key to victory in Ascension.  Whoever earns the most Honor throughout the game wins and earns the title of Godslayer!,
cotg,TMP Power Text,"<indent=4em><b>POWER:</b> Power is the second resource in Ascension.  Power is used to defeat Monsters and earn rewards. 

",<indent=4em><b>POWER:</b> Power is the second resource in Ascension.  Power is used to defeat Monsters and earn rewards.,
cotg,TMP Rune Text,"<indent=4em><b>RUNES:</b> Runes are one of the two main resources in Ascension.  Runes are used to acquire Heroes and Constructs so you can add them to your deck.

",<indent=4em><b>RUNES:</b> Runes are one of the two main resources in Ascension.  Runes are used to acquire Heroes and Constructs so you can add them to your deck.,
cotg,TMP Text,Resources:,Resources:,
cotg,TMP Body Text,"For millennia, the world of <b>Vigil</b> has been isolated and protected from other realms.  Now, the barrier between dimensions is failing, and <b>Samael, the Fallen God</b>, has returned with his army of Monsters from the beyond!

You are one of the few warriors capable of facing this threat and defending your world, but you cannot do it alone! You must summon powerful Heroes and Constructs to aid you in your battles.

The player who gains the most <b>Honor Points</b> will lead his army to defeat the <b>Fallen One</b> and earn the title of <b>Godslayer. ","For millennia, the world of <b>Vigil</b> has been isolated and protected from other realms.  Now, the barrier between dimensions is failing, and <b>Samael, the Fallen God</b>, has returned with his army of Monsters from the beyond!

You are one of the few warriors capable of facing this threat and defending your world, but you cannot do it alone! You must summon powerful Heroes and Constructs to aid you in your battles.

The player who gains the most <b>Honor Points</b> will lead his army to defeat the <b>Fallen One</b> and earn the title of <b>Godslayer.",
cotg,TMP Text,Rulebook,Rulebook,
dlrm,TMP Body Text,"Long ago, the god Adayu lost his grip on reality, and in his madness, unraveled the realms of Vigil. Heroes from the four factions rose to save their shattered world, and from the ashes rose a new world, New Vigil.

Even after Adayu’s redemption, New Vigil remained littered with portals to previously unreachable worlds - a final gift from the mad god. One such world was the Dreamscape, a realm of dreams and nightmares, where no conscious being was ever meant to enter.

It wasn’t long before the factions of New Vigil found their way into the Dreamscape, and a war for dominance began. Thousands upon thousands died in that realm, a place death’s icy fingers had never touched, and the Dreamscape began to warp.

Pasythea, the Aegis, Guardian of the Dreamscape, witnessed the corruption of her realm and feared that a prolonged war would mean annihilation for conscious and unconscious beings alike.

Pasythea chose to banish the factions from her domain, forcing champion after champion back into the conscious world.  In her final moment, mortally wounded by Emri, Champion of the Void, The Aegis warded the gate to New Vigil, cutting off the Dreamscape forever.

Or so she thought.

It was in the Valley of the Ancients, hidden away in the forgotten jungles of the world, that explorers came upon a new gate to the Dreamscape. The foolhardy explorers opened the portal. They saw into the unconscious realm and learned the consequences of their ancestor’s meddling.

A broken Dreamscape, twisted by the war between the conscious and the unconscious, poured madness into the world. The corrupted energy infected the factions of New Vigil, manifesting their wildest dreams and darkest nightmares as unthinkable versions of their champions.

Now, the world is in a state of delirium, and the twisted heroes of New Vigil must rise to push back the tide of monsters and madness.","Long ago, the god Adayu lost his grip on reality, and in his madness, unraveled the realms of Vigil. Heroes from the four factions rose to save their shattered world, and from the ashes rose a new world, New Vigil.

Even after Adayu’s redemption, New Vigil remained littered with portals to previously unreachable worlds - a final gift from the mad god. One such world was the Dreamscape, a realm of dreams and nightmares, where no conscious being was ever meant to enter.

It wasn’t long before the factions of New Vigil found their way into the Dreamscape, and a war for dominance began. Thousands upon thousands died in that realm, a place death’s icy fingers had never touched, and the Dreamscape began to warp.

Pasythea, the Aegis, Guardian of the Dreamscape, witnessed the corruption of her realm and feared that a prolonged war would mean annihilation for conscious and unconscious beings alike.

Pasythea chose to banish the factions from her domain, forcing champion after champion back into the conscious world.  In her final moment, mortally wounded by Emri, Champion of the Void, The Aegis warded the gate to New Vigil, cutting off the Dreamscape forever.

Or so she thought.

It was in the Valley of the Ancients, hidden away in the forgotten jungles of the world, that explorers came upon a new gate to the Dreamscape. The foolhardy explorers opened the portal. They saw into the unconscious realm and learned the consequences of their ancestor’s meddling.

A broken Dreamscape, twisted by the war between the conscious and the unconscious, poured madness into the world. The corrupted energy infected the factions of New Vigil, manifesting their wildest dreams and darkest nightmares as unthinkable versions of their champions.

Now, the world is in a state of delirium, and the twisted heroes of New Vigil must rise to push back the tide of monsters and madness.",
dlrm,TMP Text,"Endless possibilities await...
",Endless possibilities await...,
dlrm,TMP Introduction Text,Introduction,Introduction,
dlrm,TMP Body Text,"The Delirium Die is a special Ascension 6-sided die that can be rolled to gain different effects. During a player’s turn, that player may spend <sprite=117> to roll the Delirium Die. When the die is rolled, the player gains whatever effect is listed on the side facing up.","The Delirium Die is a special Ascension 6-sided die that can be rolled to gain different effects. During a player’s turn, that player may spend <sprite=117> to roll the Delirium Die. When the die is rolled, the player gains whatever effect is listed on the side facing up.",
dlrm,TMP Text,Delirium Die,Delirium Die,
dlrm,TMP Body Text,"<margin-right=12em>When a card with Fate Aution enters the center row, players may bid <sprite=112> to gain the effect listed underneath the Fate text. Starting with the active player and moving clockwise, each player may bid <sprite=112>. To bid, a player must bid at least <sprite=113>, must bid higher than the current bid and cannot bid more <sprite=112> than they have. If a player chooses not to bid or can’t bid, that player is out. Players continue making bids until one person is left in the running. The player that wins the Auction must pay <sprite=112> equal to their winning bid and copies the effect of the Auction card immediately.","<margin-right=12em>When a card with Fate Aution enters the center row, players may bid <sprite=112> to gain the effect listed underneath the Fate text. Starting with the active player and moving clockwise, each player may bid <sprite=112>. To bid, a player must bid at least <sprite=113>, must bid higher than the current bid and cannot bid more <sprite=112> than they have. If a player chooses not to bid or can’t bid, that player is out. Players continue making bids until one person is left in the running. The player that wins the Auction must pay <sprite=112> equal to their winning bid and copies the effect of the Auction card immediately.",
dlrm,TMP Flavor Text,This is the flavor part.,This is the flavor part.,
dlrm,TMP Rules Text,"Draw a card. If you control two or more Constructs, draw an additional card.","Draw a card. If you control two or more Constructs, draw an additional card.",
dlrm,TMP Fate Text,"<b>Fate: Auction</b> <sprite=112
> to gain the effect below.","<b>Fate: Auction</b> <sprite=112
> to gain the effect below.",
dlrm,TMP Class Text,Mechana Hero,Mechana Hero,
dlrm,TMP Title,<size=104>I</size>nferna Templar,<size=104>I</size>nferna Templar,
dlrm,TMP Text,Fate - Auction,Fate - Auction,
dlrm,TMP Body Text,"<margin-right=12em>When you play a card with Recur, first gain the effect listed above the Recur text. Then, you may spend <sprite=112> equal to the number listed for the Recur cost. If you do, gain the effect of the card a second time. You may only use a Recur ability once per card.

For example: When you play Nihil Chemist <i>(pictured on the right)</i>, You first gain <sprite=1> and you may banish a card in your hand or discard pile. After that, you have the option to Recur the effect by paying <sprite=114>. If you pay the Recur cost, you would gain an additional <sprite=1> and would have the option to banish an additional card. You can only Recur this card once when you play it. ","<margin-right=12em>When you play a card with Recur, first gain the effect listed above the Recur text. Then, you may spend <sprite=112> equal to the number listed for the Recur cost. If you do, gain the effect of the card a second time. You may only use a Recur ability once per card.

For example: When you play Nihil Chemist <i>(pictured on the right)</i>, You first gain <sprite=1> and you may banish a card in your hand or discard pile. After that, you have the option to Recur the effect by paying <sprite=114>. If you pay the Recur cost, you would gain an additional <sprite=1> and would have the option to banish an additional card. You can only Recur this card once when you play it.",
dlrm,TMP Rules Text,Gain <sprite=1>. You may banish a card in your hand or discard pile.<br>You may pay <sprite=114> to Recur. <i>(Gain the effect listed above an additional time.  You may only Recur ONCE.),Gain <sprite=1>. You may banish a card in your hand or discard pile.<br>You may pay <sprite=114> to Recur. <i>(Gain the effect listed above an additional time.  You may only Recur ONCE.),
dlrm,TMP Class Text,Void Hero,Void Hero,
dlrm,TMP Title,<size=104>N</size>ihil Chemist,<size=104>N</size>ihil Chemist,1
dlrm,TMP Text,Recur,Recur,
dlrm,TMP Body Text,"<margin-right=12em>Dreamborn cards can be identified by their gold Dreamborn card frame.

When a Dreamborn card enters the center row, EACH player gains <sprite=113>. Additionally, when a player acquires a Dreamborn card, ONLY THAT player gains <sprite=113>.
","<margin-right=12em>Dreamborn cards can be identified by their gold Dreamborn card frame.

When a Dreamborn card enters the center row, EACH player gains <sprite=113>. Additionally, when a player acquires a Dreamborn card, ONLY THAT player gains <sprite=113>.",
dlrm,TMP Rules Text,Defeat a Monster in the center row or the void without paying its cost. Put that Monster on the bottom of the center deck.,Defeat a Monster in the center row or the void without paying its cost. Put that Monster on the bottom of the center deck.,1
dlrm,TMP Dreamborn Text,Dreamborn,Dreamborn,
dlrm,TMP Class Text,Enlightened Hero,Enlightened Hero,
dlrm,TMP Title,<size=104>E</size>mri Lightbringer,<size=104>E</size>mri Lightbringer,
dlrm,TMP Text,"Dreamborn Cards",Dreamborn Cards,
