key,en
Key_Profile,Profile
Key_ProfileLoading,Retrieving Profile . . .
Key_Profiles,Profiles
Key_Purchase,Purchase
Key_Purchased,Purchased
Key_QuickMatch,Quick Match
Key_QuickMatchDelete,Are you sure you want to delete this Quick Match request?
Key_QuickMatchFailure,Creating this Quick Match failed.
Key_QuickMatchProcess,Creating a Quick Match game...
Key_QuickMatchRequest,Quick Match Request
Key_QuickMatchTooMany,Creating this Quick Match failed.<br>Too many games open.
Key_Rating,Rating
Key_RatingDifference,Rating Difference
Key_ReadyToStart,Ready to Start
Key_Reject,Reject
Key_Rematch,Rematch
Key_Remember,Remember Password
Key_RemotePlayer,Remote Player
Key_RemoveFriend,Remove Friend
Key_RemoveFriendPrompt,Would you like to remove this player from your friend list?
Key_RemoveProfile,Remove Profile
Key_RequestMatch,Request Match
Key_Resolution,Resolution
Key_ResolutionChange,Change resolution to {0}x{1}?
Key_ResolutionKeep,Keep this resolution?
Key_Resolutions,Resolutions
Key_RestoreDefaults,Restore Defaults
Key_RestorePurchases,Restore Purchases
Key_Resume,Resume
Key_ResumeGame,Resume Game
Key_ReturnToLobby,Return to Lobby
Key_Round,Round
Key_Rulebook,Rulebook
Key_Sat,Sat
Key_Saturday,Saturday
Key_Second,Second
Key_Seconds,Seconds
Key_SelectAvatar,Select your avatar
Key_SelectLanguage,Select Language
Key_SendInfo,Send Login Info
Key_Settings,Settings
Key_Setup,Setup
Key_SlotClosed,(Closed)
Key_SlotOpen,(Open)
Key_Slow,Slow
Key_Sound_Volume,Sound Volume
Key_Start,Start
Key_StartGame,Start Game
Key_Start_Menu,Start Menu
Key_Sun,Sun
Key_Sunday,Sunday
Key_TapContinue,Tap to Continue
Key_TermsAgreement,Terms of Use Agreement
Key_Theme,Theme Selection
Key_Thurs,Thurs
Key_Thursday,Thursday
Key_TimerAny,Timer: Any
Key_TitleGame,Game
Key_TitleNew,New
Key_Tues,Tues
Key_Tuesday,Tuesday
Key_Turn,Turn
Key_Tutorial,Tutorial
Key_TutorialPrompt,Would you like to play the Tutorial?
Key_Tutorials,Tutorials
Key_Undo,<size=104>R</size>ocket Courier X-99
Key_User,User Name:
Key_Username,Username
Key_Verify,Verify:
Key_View,View
Key_ViewCards,View Cards
Key_ViewGame,View Game
Key_ViewOpponentProfile,Tap opponent  to view their profile
Key_ViewingPlayer,Viewing Player
Key_WaitForPlayer,Waiting for Player
Key_WaitForPlayers,Waiting for Players
Key_WaitForStart,Waiting for Start
Key_Waiting,Waiting
Key_Warning,Warning
Key_Wed,Wed
Key_Wednesday,Wednesday
Key_WindowedMode,Windowed Mode
Key_WinsVS,Wins Versus
Key_Withdraw,Withdraw
Key_WithdrawConfirm,Are you sure you want to withdraw from this game?
Key_iOSNotifications,iOS Notifications
