prefab,path,component
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/GainingRenown/TMP Text,TMP Text
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body Text/Card_ArhaRecruit/Card_Top/Cost_Rune/TMP Cost,TMP Cost
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body Text/Card_ArhaRecruit/Card_Top/Title/TMP Title,TMP Title
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body Text/Card_ArhaRecruit/Card_Bottom/TMP Class Text,TMP Class Text
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body Text/Card_ArhaRecruit/Card_Bottom/RulesFlavor,RulesFlavor
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body Text/Card_ArhaRecruit/Card_Bottom/RulesFlavor/TMP Rules Text,TMP Rules Text
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body Text/Card_ArhaRecruit/Card_Bottom/RulesFlavor/TMP Rules Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body Text/Card_ArhaRecruit/Card_Bottom/TMP VP Text,TMP VP Text
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body Text/Card_ArhaRecruit/Card_Bottom/TMP VP Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body Text/Card_ArhaRecruit/Card_Bottom/TMP Cardset Text,TMP Cardset Text
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body Text/Card_ArhaRecruit/Card_Bottom/TMP Cardset Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/Spacer /TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/Spacer/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/Spacer/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/Boons/TMP Text,TMP Text
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/Spacer /TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/Spacer/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/LegendaryStatus/TMP Text,TMP Text
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body LegendaryStatus Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/Spacer/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/RenownThresholdEffects/TMP Text,TMP Text
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body RenownThresholdEffects Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body RenownThresholdEffects Text/Card_Askara/Card_Top/Cost_Rune/TMP Cost,TMP Cost
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body RenownThresholdEffects Text/Card_Askara/Card_Top/Title/TMP Title,TMP Title
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body RenownThresholdEffects Text/Card_Askara/Card_Bottom/TMP Class Text,TMP Class Text
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body RenownThresholdEffects Text/Card_Askara/Card_Bottom/RulesFlavor,RulesFlavor
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body RenownThresholdEffects Text/Card_Askara/Card_Bottom/RulesFlavor/TMP Rules Text,TMP Rules Text
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body RenownThresholdEffects Text/Card_Askara/Card_Bottom/RulesFlavor/TMP Rules Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body RenownThresholdEffects Text/Card_Askara/Card_Bottom/RulesFlavor/ASCFrame01/Art/TMP Rules Text,TMP Rules Text
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body RenownThresholdEffects Text/Card_Askara/Card_Bottom/RulesFlavor/ASCFrame01/Art/TMP Rules Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body RenownThresholdEffects Text/Card_Askara/Card_Bottom/TMP VP Text,TMP VP Text
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body RenownThresholdEffects Text/Card_Askara/Card_Bottom/TMP VP Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body RenownThresholdEffects Text/Card_Askara/Card_Bottom/TMP Cardset Text,TMP Cardset Text
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body RenownThresholdEffects Text/Card_Askara/Card_Bottom/TMP Cardset Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/Spacer/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body RenownThresholdEffects Text (1)/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/Spacer /TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/Spacer /TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/Spacer /TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/Spacer /TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/Rulebook/TitleBar/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/Resources/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/PlayOrder/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/AcquiringHeroesConstructs/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/TMP Body Text/Card/Card_Top/Cost_Rune/TMP Cost,TMP Cost
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/TMP Body Text/Card/Card_Top/Title/Spacer/TMP Title,TMP Title
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/TMP Body Text/Card/Card_Bottom/TMP Class Text,TMP Class Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/TMP Body Text/Card/Card_Bottom/Card_Rune/TMP Cost,TMP Cost
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/TMP Body Text/Card/Card_Bottom/TMP VP Text,TMP VP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/TMP Body Text/Card/Card_Bottom/TMP VP Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/DefeatingMonsters/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/TMP Body Text/Card/Card_M_Top/Cost_Power/TMP Cost,TMP Cost
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/TMP Body Text/Card/Card_M_Top/Title/Spacer/TMP Title,TMP Title
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/TMP Body Text/Card/Card_M_Bottom/TMP Class Text,TMP Class Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/TMP Body Text/Card/Card_M_Bottom/TMP Rules Text,TMP Rules Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/TMP Body Text/Card/Card_M_Bottom/TMP Rules Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/GameEnd/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/TMP Body Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/Heroes/TitleBar/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/HeroesCallouts/Card Hero/Card_Top/Cost_Rune/TMP Cost,TMP Cost
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/HeroesCallouts/Card Hero/Card_Top/Title/TMP Title,TMP Title
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/HeroesCallouts/Card Hero/Card_Bottom/TMP Class Text,TMP Class Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/HeroesCallouts/Card Hero/Card_Bottom/TMP Rules Text,TMP Rules Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/HeroesCallouts/Card Hero/Card_Bottom/TMP Rules Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/HeroesCallouts/Card Hero/Card_Bottom/TMP Flavor Text,TMP Flavor Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/HeroesCallouts/Card Hero/Card_Bottom/TMP VP Text,TMP VP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/HeroesCallouts/Card Hero/Card_Bottom/TMP VP Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/HeroesCallouts/Card Hero/Card_Bottom/TMP Cardset Text,TMP Cardset Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/HeroesCallouts/Card Hero/Card_Bottom/TMP Cardset Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/HeroesCallouts/Name/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/HeroesCallouts/Faction/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/HeroesCallouts/Honor/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/HeroesCallouts/Cost/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/HeroesCallouts/Effect/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/HeroesCallouts/Flavor Text/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/HeroesCallouts/Rarity Set Icon/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/HeroesCallouts/Rarity Set Icon/TMP Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/ConstructCards/TitleBar/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/ConstructCallouts/Card Construct/Card_Top/Cost_Rune/TMP Cost,TMP Cost
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/ConstructCallouts/Card Construct/Card_Top/Title/TMP Title,TMP Title
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/ConstructCallouts/Card Construct/Card_Bottom/TMP Class Text,TMP Class Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/ConstructCallouts/Card Construct/Card_Bottom/TMP Rules Text,TMP Rules Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/ConstructCallouts/Card Construct/Card_Bottom/TMP Rules Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/ConstructCallouts/Card Construct/Card_Bottom/TMP Flavor Text,TMP Flavor Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/ConstructCallouts/Card Construct/Card_Bottom/TMP VP Text,TMP VP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/ConstructCallouts/Card Construct/Card_Bottom/TMP VP Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/ConstructCallouts/Card Construct/Card_Bottom/TMP Cardset Text,TMP Cardset Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/ConstructCallouts/Card Construct/Card_Bottom/TMP Cardset Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/ConstructCallouts/Name/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/ConstructCallouts/Faction/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/ConstructCallouts/Honor/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/ConstructCallouts/Cost/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/ConstructCallouts/Effect/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/ConstructCallouts/Flavor Text/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/ConstructCallouts/Rarity Set Icon/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/ConstructCallouts/Rarity Set Icon/TMP Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/MonsterCards/TitleBar/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/MonsterCallouts/Card Monster/Card_M_Top/Cost_Power/TMP Cost,TMP Cost
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/MonsterCallouts/Card Monster/Card_M_Top/Title/TMP Title,TMP Title
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/MonsterCallouts/Card Monster/Card_M_Bottom/TMP Class Text,TMP Class Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/MonsterCallouts/Card Monster/Card_M_Bottom/TMP Rules Text,TMP Rules Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/MonsterCallouts/Card Monster/Card_M_Bottom/TMP Rules Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/MonsterCallouts/Card Monster/Card_M_Bottom/TMP Cardset Text,TMP Cardset Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/MonsterCallouts/Card Monster/Card_M_Bottom/TMP Cardset Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/MonsterCallouts/Name/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/MonsterCallouts/Reward/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/MonsterCallouts/Cost/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/MonsterCallouts/Rarity Set Icon/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/MonsterCallouts/Rarity Set Icon/TMP Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/TopArea/TitleBar/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/TopAreaCallouts/OpponentArea/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/TopAreaCallouts/RuneCardDeck/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/TopAreaCallouts/PowerCardDeck/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/TopAreaCallouts/Cultist/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/TopAreaCallouts/GlobalHonorPool/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/TopAreaCallouts/CenterRow/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/TopAreaCallouts/CenterRowDrawPile/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/TopAreaCallouts/CenterRowDrawPile/TMP Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/TopAreaCallouts/RlayersRunes/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/TopAreaCallouts/RlayersPower/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/TopAreaCallouts/Void/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/PlayerArea/TitleBar/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/PlayerAreaCallouts/InfoLine/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/PlayerAreaCallouts/Avatar/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/PlayerAreaCallouts/HonorPoints/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/PlayerAreaCallouts/DrawDeck/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/PlayerAreaCallouts/ConstructTray/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/PlayerAreaCallouts/PlayersHand/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/PlayerAreaCallouts/Menu/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/PlayerAreaCallouts/PlayAll/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/PlayerAreaCallouts/EndTurn/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/PlayerAreaCallouts/DiscardPile/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/OpponentArea/TitleBar/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/OpponentAreaCallouts/Name/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/OpponentAreaCallouts/Avatar/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/OpponentAreaCallouts/HonorPoints/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/OpponentAreaCallouts/Deck/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/OpponentAreaCallouts/OnlineIndicator/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/OpponentAreaCallouts/OpponentBox/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/OpponentAreaCallouts/Constructs/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/OpponentAreaCallouts/Constructs/TMP Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/OpponentAreaCallouts/Hand/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/OpponentAreaCallouts/DiscardPile/TMP Text,TMP Text
RulebookCotG,RulebookCotG/Scroll View/Viewport/Content/OpponentAreaCallouts/Log/TMP Text,TMP Text
RulebookRotF,RulebookRotF/Scroll View/Viewport/Content/WhatsNew,WhatsNew
RulebookRotF,RulebookRotF/Scroll View/Viewport/Content/WhatsNew/TMP Text,TMP Text
RulebookRotF,RulebookRotF/Scroll View/Viewport/Content/HonorPool/TMP Text,TMP Text
RulebookRotF,RulebookRotF/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookRotF,RulebookRotF/Scroll View/Viewport/Content/TMP Body Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookRotF,RulebookRotF/Scroll View/Viewport/Content/FateCards/TMP Text,TMP Text
RulebookRotF,RulebookRotF/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookRotF,RulebookRotF/Scroll View/Viewport/Content/TMP Body Text/CardAskaraFate/Card_Top/Cost_Rune/TMP Cost,TMP Cost
RulebookRotF,RulebookRotF/Scroll View/Viewport/Content/TMP Body Text/CardAskaraFate/Card_Top/Title/TMP Title,TMP Title
RulebookRotF,RulebookRotF/Scroll View/Viewport/Content/TMP Body Text/CardAskaraFate/Card_Bottom/TMP Class Text,TMP Class Text
RulebookRotF,RulebookRotF/Scroll View/Viewport/Content/TMP Body Text/CardAskaraFate/Card_Bottom/Fate Rules Area/Fate Box/TMP Fate Text,TMP Fate Text
RulebookRotF,RulebookRotF/Scroll View/Viewport/Content/TMP Body Text/CardAskaraFate/Card_Bottom/Fate Rules Area/Fate Box/TMP Fate Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookRotF,RulebookRotF/Scroll View/Viewport/Content/TMP Body Text/CardAskaraFate/Card_Bottom/Fate Rules Area/TMP Rules Text,TMP Rules Text
RulebookRotF,RulebookRotF/Scroll View/Viewport/Content/TMP Body Text/CardAskaraFate/Card_Bottom/Fate Rules Area/TMP Rules Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookRotF,RulebookRotF/Scroll View/Viewport/Content/TMP Body Text/CardAskaraFate/Card_Bottom/TMP VP Text,TMP VP Text
