id,card_set,display_name,effect_text,flavor_text,source
"Ta'hyr, the Sun",WoS,"Ta'hyr, the Sun","If all cards 在中央牌列 are DAY cards, ",,draft
Shrine Attendant,WoS,Shrine Attendant,Add a 秘教士 or 重装步兵 to your 手牌.,,draft
Searing Askara,WoS,Searing Askara,放逐一张卡牌 在中央牌列. ,,draft
Arha Historian,WoS,Arha Historian,抽一张牌. ,,draft
Bringer of Hope,WoS,Bringer of Hope,放逐一张卡牌 在你的手牌中. ,,draft
Sunstreak Courier,WoS,Sunstreak Courier,获得1符文 and 1战力.,,draft
Everbloom Witch,WoS,Everbloom Witch,"获得3荣誉.
",,draft
Marsh Ranger,WoS,Marsh Ranger,"获得1符文 and 1荣誉. 抽一张牌.
",,draft
"Vyrak, the First",WoS,"Vyrak, the First","你可以spend P as R to acquire this.
",,draft
Lunar Guardian,WoS,Lunar Guardian,"获得2符文.
",,draft
Verdant Chanter,WoS,Verdant Chanter,"获得2符文.
",,draft
Map of the Stars,WoS,Map of the Stars,每回合一次，获得1符文 and 1战力.,,draft
"Luro, the Hunter",WoS,"Luro, the Hunter","获得3符文.
",,draft
Solar Sentry,WoS,Solar Sentry,"获得2符文.
",,draft
Sureshot Tracker,WoS,Sureshot Tracker,"获得2战力.
",,draft
Foundry Hound,WoS,Foundry Hound,每回合一次，if you 打出 a 机械 Contruct ,,draft
Watchtower Golem,WoS,Watchtower Golem,每回合一次，if you 打出 a 机械 Contruct ,,draft
Wrecklamax,WoS,Wrecklamax,每回合一次，if you 打出 a 机械 Contruct ,,draft
Illuminator,WoS,Illuminator,DAY: 每回合一次，获得1符文 and 1战力 ,,draft
Flare Tracker,WoS,Flare Tracker,"获得2符文.
",,draft
Rescuebot 505,WoS,Rescuebot 505,"When you acquire this and it is Day, put it directly 进入战场.
",,draft
Shade Converter,WoS,Shade Converter,"If you control three 或更高 机械神器s, ",,draft
Dogs of War,WoS,Dogs of War,"获得1战力.
",,draft
Riftwatch Outpost,WoS,Riftwatch Outpost,"每回合一次，获得1战力.
",,draft
Deadeye Assassin,WoS,Deadeye Assassin,"获得3战力.
",,draft
Dark Gladiator,WoS,Dark Gladiator,"获得2战力.
",,draft
Dread Conjurer,WoS,Dread Conjurer,"抽一张牌.
",,draft
Wartorn Arbiter,WoS,Wartorn Arbiter,获得1战力. ,,draft
Shade of Sadranis,WoS,Shade of Sadranis,"获得4战力.
",,draft
"Isha, the Pursuer",WoS,"Isha, the Pursuer","获得3战力.
",,draft
Shardwing Beetle,WoS,Shardwing Beetle,"奖励：获得3荣誉.
",,draft
Deceitful Ghoul,WoS,Deceitful Ghoul,"奖励：获得2荣誉.
",,draft
Scavenger Ants,WoS,Scavenger Ants,"奖励：获得4荣誉.
",,draft
Emberwing Moth,WoS,Emberwing Moth,"奖励：获得5荣誉.
",,draft
Cavern Creeper,WoS,Cavern Creeper,奖励：获得1荣誉 and 1符文.,,draft
Shade Viper,WoS,Shade Viper,"奖励：获得2荣誉.
",,draft
Light of False Hope,WoS,Light of False Hope,"奖励：获得4荣誉.
",,draft
Lieutenant Duros,WoS,Lieutenant Duros,"奖励：获得4荣誉.
",,draft
Legion of Aklys,WoS,Legion of Aklys,"If all cards 在中央牌列 are NIGHT cards, ",,draft
"Aklys, the Scourge",WoS,"Aklys, the Scourge","奖励：获得6荣誉.
",,draft
Dhartha's Trial,GotE,Dhartha's Trial,"每回合一次，if you have played a 秘教士 or 重装步兵, 抽一张牌.
",,draft
"Dhartha, Eternal Seer",GotE,"Dhartha, Eternal Seer",抽 four cards.,,draft
Radiant Aspirant,GotE,Radiant Aspirant,"EMPOWER
",,draft
Water Elemental,GotE,Water Elemental,"抽一张牌.
",,draft
Sister of the Wind,GotE,Sister of the Wind,放逐 Sister of the Wind and a 卡牌 在你的手牌中. ,,draft
Yuk Tribe Outcast,GotE,Yuk Tribe Outcast,"抽一张牌.
",,draft
Thunder Templar,GotE,Thunder Templar,"EMPOWER
",,draft
Whirlwind Ascetic,GotE,Whirlwind Ascetic,"抽三张牌, then discard two cards. ",,draft
Brother Laias,GotE,Brother Laias,"EMPOWER
",,draft
"Sonny, Lightwielder",GotE,"Sonny, Lightwielder","EMPOWER
",,draft
Piercing Eye,GotE,Piercing Eye,"每回合一次，if you have defeated a 怪物 在中央牌列, ",,draft
Temple of the Wind,GotE,Temple of the Wind,每回合一次，你可以banish a 卡牌 在你的弃牌堆 ,,draft
Cetra's Trial,GotE,Cetra's Trial,"Heroes 在中央牌列 cost 1符文 less to acquire (to a minimum of 1符文).
",,draft
"Cetra, Celestial Body",GotE,"Cetra, Celestial Body",获得H equal to the total H of all Heroes and Constructs 在中央牌列.,,draft
Keen-eyed Aspirant,GotE,Keen-eyed Aspirant,"EMPOWER
",,draft
Thicket Familiar,GotE,Thicket Familiar,"EMPOWER
",,draft
Verdant Elemental,GotE,Verdant Elemental,"获得3荣誉.
",,draft
Flourishing Druidess,GotE,Flourishing Druidess,"EMPOWER
",,draft
"Kiri, Meadow Witch",GotE,"Kiri, Meadow Witch","抽一张牌.
",,draft
Hearthglow Clique,GotE,Hearthglow Clique,"EMPOWER
",,draft
Earthmender Pura,GotE,Earthmender Pura,"获得3符文.
",,draft
Wildbark Mail,GotE,Wildbark Mail,"每回合一次，if you have defeated a 怪物 在中央牌列, 获得2荣誉.",,draft
Temple of Heroes,GotE,Temple of Heroes,"每回合一次，if you have played a 生命英雄 or 怪物, 获得2荣誉.",,draft
Reysa's Trial,GotE,Reysa's Trial,"Constructs 在中央牌列 cost 1符文 less to acquire (to a minimum of 1符文).
",,draft
Forgemother Reysa,GotE,Forgemother Reysa,Choose one: 抽一张牌 OR acquire any number of Constructs ,,draft
Innovative Aspirant,GotE,Innovative Aspirant,"EMPOWER
",,draft
Scrap Weaver,GotE,Scrap Weaver,"抽一张牌.
",,draft
Iron Elemental,GotE,Iron Elemental,"获得2符文.
",,draft
Conduit Monk,GotE,Conduit Monk,"EMPOWER
",,draft
Elemental Projector,GotE,Elemental Projector,"每回合一次，if you control two 或更高 机械神器s, 获得2战力.",,draft
Processing Hub,GotE,Processing Hub,"每回合一次，if you control three 或更高 机械神器s, 获得2符文.",,draft
Spire of Insight,GotE,Spire of Insight,"每回合一次，if you control four 或更高 机械神器s, 你可以抽两张牌.",,draft
Blast Goggles,GotE,Blast Goggles,"每回合一次，if you control five 或更高 机械神器s, 获得5荣誉.",,draft
Cell Block E,GotE,Cell Block E,"When you defeat a 怪物 在中央牌列 or 打出 a 怪物, ",,draft
P.R.I.M.E. Directive,GotE,P.R.I.M.E. Directive,"If you control eight 或更高 机械神器s, you win the game.",,draft
Emri's Trial,GotE,Emri's Trial,"Monsters 在中央牌列 cost 1战力 less to defeat (to a minimum of 1战力).
",,draft
"Emri, Born of Battle",GotE,"Emri, Born of Battle","获得4战力.
",,draft
Deranged Aspirant,GotE,Deranged Aspirant,"EMPOWER
",,draft
Shadow Elemental,GotE,Shadow Elemental,"获得2战力.
",,draft
Patient Assassin,GotE,Patient Assassin,"获得2战力.
",,draft
Venom Priestess,GotE,Venom Priestess,"获得2战力.
",,draft
Voidrift Stalker,GotE,Voidrift Stalker,"EMPOWER
",,draft
Grand-Arbiter Todd,GotE,Grand-Arbiter Todd,"EMPOWER
",,draft
"Ulan, the Crusher",GotE,"Ulan, the Crusher","EMPOWER
",,draft
Madness' Embrace,GotE,Madness' Embrace,"每回合一次，if you have defeated a 怪物 在中央牌列, ",,draft
Oblivion Blossoms,GotE,Oblivion Blossoms,"每回合一次，获得1战力.
",,draft
Ulan's Fist,GotE,Ulan's Fist,"每回合一次，获得2战力.
",,draft
Xeron's Trial,GotE,Xeron's Trial,"When you 打出 a 怪物, 获得2战力.
",,draft
"Xeron, False Ally",GotE,"Xeron, False Ally","获得5符文.
",,draft
Nom Tribe Gremlin,GotE,Nom Tribe Gremlin,"奖励：获得1荣誉.
",,draft
Yuk Tribe Gremlin,GotE,Yuk Tribe Gremlin,"奖励：获得1荣誉.
",,draft
Bam Tribe Gremlins,GotE,Bam Tribe Gremlins,"奖励：获得2荣誉.
",,draft
Bramble Elemental,GotE,Bramble Elemental,"奖励：获得5荣誉.
",,draft
Wildfire Elemental,GotE,Wildfire Elemental,"奖励：获得4荣誉.
",,draft
Unspeakable Doom,GotE,Unspeakable Doom,"奖励：获得5荣誉.
",,draft
Tectonic Thrasher,GotE,Tectonic Thrasher,"奖励：获得4荣誉.
",,draft
Static Elemental,GotE,Static Elemental,"奖励：获得5荣誉.
",,draft
Eek Tribe Gremlin,GotE,Eek Tribe Gremlin,"奖励：获得5荣誉.
",,draft
"Yur, Eye of Chaos",GotE,"Yur, Eye of Chaos","奖励：获得4荣誉.
",,draft
Deluge Elemental,GotE,Deluge Elemental,"奖励：获得6荣誉.
",,draft
Temple of Life,VotA,Temple of Life,1L: 获得control of the Temple of Immortality. 获得2符文.,,draft
Temple of Death,VotA,Temple of Death,1D: 获得control of the Temple of Immortality. ,,draft
Temple of Immortality,VotA,Temple of Immortality,每回合一次，choose a faction. ,,draft
Blind Seer,VotA,Blind Seer,"抽一张牌.
",,draft
Ominous Augur,VotA,Ominous Augur,"获取一个英雄 or 神器 with cost 5符文 或更低 无需支付费用.
",,draft
Jubilant Monk,VotA,Jubilant Monk,Reveal the top 卡牌 of your 牌库 and put it into your 手牌. ,,draft
Keeper of Secrets,VotA,Keeper of Secrets,"放逐一张卡牌 在你的手牌中 and replace it with a 秘教士 or 重装步兵.
",,draft
Fist of the Dragon,VotA,Fist of the Dragon,抽一张牌. 放逐一张卡牌 在中央牌列. ,,draft
Flanking Askara,VotA,Flanking Askara,"抽一张牌.
",,draft
"Isla, Serene Prodigy",VotA,"Isla, Serene Prodigy","获取一个英雄 or 神器 在中央牌列 无需支付费用.
",,draft
Sacred Pot,VotA,Sacred Pot,宁静: 每回合一次，抽一张牌. ,,draft
Templar Outpost,VotA,Templar Outpost,每回合一次，defeat a 怪物 在中央牌列 with cost 4战力 或更低 无需支付费用.,,draft
Ancient Stag,VotA,Ancient Stag,"获得3荣誉.
",,draft
Cheerful Consort,VotA,Cheerful Consort,"获得1荣誉.
",,draft
Alosyan Guide,VotA,Alosyan Guide,"When you acquire this, if you have played a 生命英雄 本回合, ",,draft
Sirewood Elder,VotA,Sirewood Elder,"获得2符文.
",,draft
Burial Guardian,VotA,Burial Guardian,"获得2符文.
",,draft
Qadim Stalker,VotA,Qadim Stalker,"获得2符文 and 2战力.
",,draft
Caretaker Zahral,VotA,Caretaker Zahral,"获得3符文.
",,draft
"Asalas, the Impaler",VotA,"Asalas, the Impaler","获得2符文.
",,draft
Pathfinder's Totem,VotA,Pathfinder's Totem,联合: 每回合一次，获得1符文. ,,draft
Resourceful Trader,VotA,Resourceful Trader,"抽一张牌.
",,draft
Brother Marius,VotA,Brother Marius,"获得1符文.
",,draft
Excavator Pilot,VotA,Excavator Pilot,"获得2符文.
",,draft
Salvagemaster Mila,VotA,Salvagemaster Mila,"获得4符文.
",,draft
Forgemaster's Suit,VotA,Forgemaster's Suit,每回合一次，when you 打出 a 机械神器 (including this one) ,,draft
Stormsmith Anvil,VotA,Stormsmith Anvil,每回合一次，when you 打出 a 机械神器 (including this one) ,,draft
Siegemaster's Ram,VotA,Siegemaster's Ram,每回合一次，when you 打出 a 机械神器 (including this one) ,,draft
K-YL3 Repairbot,VotA,K-YL3 Repairbot,每回合一次，when you 打出 a 机械神器 (including this one) ,,draft
"Tyranyx, the Pillager",VotA,"Tyranyx, the Pillager","你可以spend P in addition to R to acquire this.
",,draft
Reckless Excavator,VotA,Reckless Excavator,"每回合一次，when you 打出 a 机械神器 (including this one), 获得1L or 1D.",,draft
Shadowridge Scout,VotA,Shadowridge Scout,"获得2战力.
",,draft
Spiteful Gladiator,VotA,Spiteful Gladiator,"获得2战力.
",,draft
Excavation Sentry,VotA,Excavation Sentry,"获得2战力.
",,draft
Soulsnare Hunter,VotA,Soulsnare Hunter,"获得2战力.
",,draft
Silenced Prophet,VotA,Silenced Prophet,"抽一张牌.
",,draft
Endbringer Jora,VotA,Endbringer Jora,"获得3战力.
",,draft
"Randall, Umbral Sage",VotA,"Randall, Umbral Sage","获得3战力.
",,draft
Beacon of the Lost,VotA,Beacon of the Lost,回响: 每回合一次，获得1战力. ,,draft
Deranged Dirge,VotA,Deranged Dirge,"每回合一次，获得1战力.
",,draft
Cavern Horror,VotA,Cavern Horror,奖励：获得1荣誉. 你可以shuffle your 弃牌堆 into your 牌库. ,,draft
Hellfrost Imps,VotA,Hellfrost Imps,奖励：获得2荣誉. 你可以defeat a 怪物 在中央牌列 named Hellfrost Imps 无需支付费用.,,draft
Crypt Lurker,VotA,Crypt Lurker,奖励：获得3荣誉. 获得1D.,,draft
Starved Abomination,VotA,Starved Abomination,奖励：获得3荣誉. 获得1L.,,draft
Death's Widow,VotA,Death's Widow,奖励：获得2荣誉. Each opponent must destroy a 神器 they control. ,,draft
Grave Golem,VotA,Grave Golem,奖励：获得4荣誉. Each opponent reveals the top 卡牌 of their 牌库 ,,draft
Iku's Minions,VotA,Iku's Minions,"This costs 2 less to defeat if you control a Temple.
",,draft
Mutated Scavenger,VotA,Mutated Scavenger,奖励：获得4荣誉. 获得5符文.,,draft
"Kan'zir, the Ravager",VotA,"Kan'zir, the Ravager",奖励：获得5荣誉. Each opponent loses control of all Temples and destroys all Constructs they control.,,draft
"Hurras, Sea's Fury",VotA,"Hurras, Sea's Fury",奖励：获得4荣誉. 获得1L and 1D.,,draft
"Iku, Valley Tyrant",VotA,"Iku, Valley Tyrant","This costs 2战力 less to defeat for each Temple you control.
",,draft
Dreamscape Diviner,Del,Dreamscape Diviner,获得2洞察.,,draft
Dimension Monk,Del,Dimension Monk,"抽一张牌.
",,draft
Aegis Knight,Del,Aegis Knight,放逐一张卡牌 在你的手牌或弃牌堆. ,,draft
Dream Dealer,Del,Dream Dealer,"抽一张牌, then banish a 卡牌 在中央牌列. ",,draft
Templar General,Del,Templar General,"击败一个怪物 with cost 4战力 或更低 无需支付费用.
",,draft
Divine Askara,Del,Divine Askara,"Copy the effect of a 英雄 played 本回合.
",,draft
"Loa, Dream Dragon",Del,"Loa, Dream Dragon",Roll the 谵妄 Die.,,draft
"Emri, Lightbringer",Del,"Emri, Lightbringer",击败一个怪物 在中央牌列 or the void 无需支付费用. ,,draft
Dream Stone,Del,Dream Stone,你可以banish this to roll the 谵妄 Die.,,draft
The Dragon's Eye,Del,The Dragon's Eye,"When you 打出 this, 获得1洞察.
",,draft
Delirium Nymph,Del,Delirium Nymph,"获得1符文.
",,draft
Dreamscape Dryad,Del,Dreamscape Dryad,"获得3荣誉.
",,draft
Pollen Pixie,Del,Pollen Pixie,获得2符文 and 1荣誉.,,draft
Dream Guide,Del,Dream Guide,获得2符文 and 1洞察.,,draft
Tuskrider,Del,Tuskrider,"抽一张牌.
",,draft
Vineweaver,Del,Vineweaver,获得4荣誉.,,draft
"Kor, Worldbreaker",Del,"Kor, Worldbreaker","获得2符文 and 抽一张牌.
",,draft
"Evvy, Ogo's Gift",Del,"Evvy, Ogo's Gift","获取一个英雄 无需支付费用 and put it 放到你的牌库顶.
",,draft
Ogo War Tree,Del,Ogo War Tree,"每回合一次，when you acquire a 英雄 在中央牌列, ",,draft
Steelweaver,Del,Steelweaver,获得1符文. ,,draft
Scrapbot Scrapper,Del,Scrapbot Scrapper,获得2战力. ,,draft
Inferna Templar,Del,Inferna Templar,"抽一张牌.
",,draft
Emma Ironheart,Del,Emma Ironheart,获得3符文. ,,draft
Clockwork Shield,Del,Clockwork Shield,"每回合一次，when you 打出 a 机械神器 (including this one), ",,draft
Clockwork Blade,Del,Clockwork Blade,"每回合一次，when you 打出 a 机械神器 (including this one), ",,draft
Clockwork Helm,Del,Clockwork Helm,"每回合一次，when you 打出 a 机械神器 (including this one), ",,draft
Clockwork Familiar,Del,Clockwork Familiar,"每回合一次，when you 打出 a 机械神器 (including this one), ",,draft
Salvage Yard,Del,Salvage Yard,"At the start of your turn, return this to your 手牌.",,draft
"Dhartha, Mechamonk",Del,"Dhartha, Mechamonk","每回合一次，when you 打出 a 机械神器 (including this one), ",,draft
Nihil Chemist,Del,Nihil Chemist,获得1战力. ,,draft
Voidrager,Del,Voidrager,获得2战力. ,,draft
Shield Bearer,Del,Shield Bearer,"抽一张牌.
",,draft
Voidspeaker,Del,Voidspeaker,"获得2战力.
",,draft
Darktome Librarian,Del,Darktome Librarian,"获得2洞察.
",,draft
"Naka, Shadeborn",Del,"Naka, Shadeborn","获得3战力.
",,draft
"Cetra, Voidmother",Del,"Cetra, Voidmother","获得4战力.
",,draft
Arbiter Circlet,Del,Arbiter Circlet,每回合一次，获得1战力.,,draft
Nilhammer,Del,Nilhammer,回响: 每回合一次，获得3战力. ,,draft
Demon Pups,Del,Demon Pups,奖励：获得1荣誉. ,,draft
Dream Eater,Del,Dream Eater,奖励：获得2荣誉 and 1洞察.,,draft
Delirium Pixies,Del,Delirium Pixies,奖励：获得2荣誉 and 3符文.,,draft
Mammoth Beetle,Del,Mammoth Beetle,奖励：获得3荣誉. ,,draft
Bleaktoad,Del,Bleaktoad,奖励：获得4荣誉. ,,draft
Dreadmare,Del,Dreadmare,奖励：获得4荣誉 and 3洞察.,,draft
Oak of Souls,Del,Oak of Souls,奖励：获得3荣誉. ,,draft
"Zis, Dreamreaper",Del,"Zis, Dreamreaper",奖励：获得5荣誉. ,,draft
Torment Legionary,Del,Torment Legionary,奖励：获得6荣誉. ,,draft
Karion,Del,Karion,奖励：获得5荣誉 and 10洞察.,,draft
"Glover, Dream Titan",Del,"Glover, Dream Titan",奖励：获得7荣誉. ,,draft
Dreamseeker Start,Dlvr,Dreamseeker,获得1洞察 and 抽一张牌.,,draft
"Pasythea, The Redeemed",Dlvr,"Pasythea, The Redeemed","This 英雄 counts as all factions
",,draft
Pasythea's Cutlass,Dlvr,Pasythea's Cutlass,"This 神器 counts as all factions.
",,draft
Pasythea's Katana,Dlvr,Pasythea's Katana,"This 神器 counts as all factions.
",,draft
Pasythea's Mace,Dlvr,Pasythea's Mace,"This 神器 counts as all factions.
",,draft
Pasythea's Scimitar,Dlvr,Pasythea's Scimitar,"This 神器 counts as all factions.
",,draft
Dreamwalker,Dlvr,Dreamwalker,"放逐一张卡牌 在中央牌列.
",,draft
Dream Chamber Disciples,Dlvr,Dream Chamber Disciples,"抽一张牌.
",,draft
Azurite Channeler,Dlvr,Azurite Channeler,"放逐一张卡牌 在你的手牌中 and replace it with a 秘教士 or 重装步兵.
",,draft
Psyonic Apprentice,Dlvr,Psyonic Apprentice,"While this is 在你的手牌中, 你可以pay 7洞察 ",,draft
Psyonic Paladin,Dlvr,Psyonic Paladin,击败一个怪物 在中央牌列,,draft
Aether Warrior,Dlvr,Aether Warrior,"PHANTASM - While this is 在中央牌列, ",,draft
Psyche Askara,Dlvr,Psyche Askara,Copy the effect of a 英雄 you have played 本回合,,draft
"Dhartha, Dream Master",Dlvr,"Dhartha, Dream Master","PHANTASM - While this is 在中央牌列, ",,draft
Dream Anchor,Dlvr,Dream Anchor,"PLUNDER - 每回合一次，if you acquire a 卡牌 AND defeat a 怪物,",,draft
Entrophantasm,Dlvr,Entrophantasm,"获得1符文 and 1洞察.
",,draft
Dreamscarred Hunter,Dlvr,Dreamscarred Hunter,"抽一张牌.
",,draft
Faerie Commander,Dlvr,Faerie Commander,获得2符文.,,draft
Green Spritelings,Dlvr,Green Spritelings,"PHANTASM - While this is 在中央牌列, ",,draft
Wereboar,Dlvr,Wereboar,获得2战力.,,draft
Lychan Ranger,Dlvr,Lychan Ranger,"While this is 在你的手牌中, 你可以pay 6洞察",,draft
Lychan Beast,Dlvr,Lychan Beast,获得3符文 and 3战力.,,draft
"Rut, Oaken Master",Dlvr,"Rut, Oaken Master","获得3荣誉 and 抽一张牌.
",,draft
Tree of Bounty,Dlvr,Tree of Bounty,"PLUNDER - 每回合一次，if you acquire a 卡牌 AND defeat a 怪物,",,draft
Corite Mechanadon,Dlvr,Corite Mechanadon,"PHANTASM - While this is 在中央牌列, ",,draft
Controlsmith,Dlvr,Controlsmith,获得2符文.,,draft
Stone Artificers,Dlvr,Stone Artificers,获得2符文.,,draft
Gearseer,Dlvr,Gearseer,"PHANTASM - While this is 在中央牌列, ",,draft
Teletransmitter Blueprint,Dlvr,Teletransmitter Blueprint,你可以pay 5洞察 to transform this into Emma's Teletransmitter.,,draft
Emma's Teletransmitter,Dlvr,Emma's Teletransmitter,每回合一次，获得1荣誉 for each Transformed 机械神器 you contol.,,draft
Mechannon Blueprint,Dlvr,Mechannon Blueprint,你可以pay 5洞察 to transform this into Emma's Mechannon.,,draft
Emma's Mechannon,Dlvr,Emma's Mechannon,每回合一次，获得1战力 for each Transformed 机械神器 you contol.,,draft
Voidcycler Blueprint,Dlvr,Voidcycler Blueprint,你可以pay 5洞察 to transform this into Emma's Voidcycler.,,draft
Emma's Voidcycler,Dlvr,Emma's Voidcycler,每回合一次，获得1符文 for each Transformed 机械神器 you contol.,,draft
Emma's Workshop,Dlvr,Emma's Workshop,每回合一次，你可以transform a 机械神器,,draft
Ironheart Blueprint,Dlvr,Ironheart Blueprint,"你可以pay 15洞察 to transform this into The Ironheart.
",,draft
The Ironheart,Dlvr,The Ironheart,"每回合一次，获得3符文, 3战力, and 3荣誉.",,draft
Blackwatch Dreamer,Dlvr,Blackwatch Dreamer,"PHANTASM - While this is 在中央牌列,",,draft
Void Amathyst Defender,Dlvr,Void Amathyst Defender,"获得2战力.
",,draft
Demon Hunter,Dlvr,Demon Hunter,"While this is 在你的手牌中, 你可以pay 8洞察",,draft
Demon Master,Dlvr,Demon Master,获得5战力.,,draft
