en,zh
Draw two cards. Each other player may draw a card.  Then you may banish a card in the center row.,抽两张牌. 每位其他玩家可以抽一张牌. 然后你可以放逐一张卡牌在中央牌列.
"<color=#fdc60eff>Fate:</color> When this enters the center row, each player may draw a card.","<color=#fdc60eff>天命：</color> 当此牌进入中央牌列时, 每位玩家可以抽一张牌."
<size=104>A</size>skara of Fate,天命阿斯卡拉
Fate Cards:,天命卡牌:
PlayerName Player Name,玩家名
"Info blocky of Info
Info block of Info
Info block of Info block of Info
Info block of Info
Info block of Info
Info block of Info",信息
Terms of Use,使用条款
In Progress:,进行中：
No Games Available,暂无可用对局
"No Cards
Available",暂无卡牌
14+ Days,14+ 往日
All Games,全部对局
"












Thank you for playing.









",感谢游玩。
"You can invite a friend
by pressing their name.",点击好友名字即可邀请。
Current Games,当前对局
No active game,没有进行中的对局
Press the avatar to invite Friends from your Friends List,Press avatar以invite Friends从你的Friends List
Waiting on Player,等待玩家
"Loading rulebook,
please wait...","正在加载规则书，
请稍候…"
"Purchase all the Ascension bundles for one low price!<br><br>Includes Bundle #1 through Bundle #5.  

That's 630 <b>unique</b> new cards to play with.","Purchase所有Ascension bundles以一low price!<br><br>Includes Bundle #1 穿过Bundle #5. 

该之 630 <b>unique</b> 新卡牌以 打出以."
See Cards,See卡牌
"Purchase both <b>Delirium</b> and <b>Deliverance</b> expansions together for a greater value!

",捆绑购买 <b>谵妄</b> 与 <b>救赎</b> 扩展更超值！
"You already own one or more items contained in this bundle.
Individual items can be purchased from the ""Purchase Separately"" menu.
Are you sure you wish to purchase the bundle?","你已拥有本合集中的一件或多件内容。
单件商品可在「单独购买」中购买。"
If you previously had a Playdek account or use one for our other games you may login with that account email and password.,若你previously曾有Playdek account或use一以 我们的其他games你可以login以该account email和password.
Purchase all for 99.99.99,全部购买 99.99
No Account at All,完全没有账号
Vault of the Ancients,上古宝库
For any questions or issues please contact us at support@playdekgames.com.,如有任何问题，请联系 support@playdekgames.com。
"All opponents have forfeited!
Claim victory & end the game?","所有对手均已弃权！
是否宣布胜利并结束对局？"
Defeat as Construct,击败作为神器
PlayerName Name,名称
Are you sure you want to spend 5 Insight to roll the Delirium Die?,确定要花费 5 点洞察来投掷骰子吗？
Are you sure you want to acquire that to the discard pile?,确定要将其获取到弃牌堆吗？
Please play a card or end your turn,请打出一张牌或结束回合
Hold To Show Transform,按住显示变形
Needed to defeat:,击败所需：
Press to continue,点击继续
Your Bid:,你的Bid:
Current Highest Bid:,当前最高出价：
Void Legend,虚空传奇
Mechana Legend,机械传奇
Lifebound Legend,生命传奇
Enlightened Legend,启迪传奇
Death is eternal.,死亡为eternal.
Life finds a way.,生命finds方式.
A player may have no more than one Fanatic Trophy in play at a time.,玩家可以拥有没有超过一 狂信者战利品在 打出在 次.
Lifebound Champion,生命冠军
"Whenever you acquire or defeat a Lifebound card in the center row, Rally: Lifebound.","每当你 获取或 击败生命卡牌在中央牌列, 集结: 生命."
"Acquire Nairi, Wild Queen.","获取奈莉, 荒野女王."
Nairi,奈莉
Enlightened Champion,启迪冠军
"Whenever you acquire or defeat an Enlightened card in the center row, Rally: Enlightened.","每当你 获取或 击败启迪卡牌在中央牌列, 集结: 启迪."
"Acquire Dhartha, Master of Sight.","获取达萨, 大师的 视界."
Dhartha,达萨
"A remnant of something long since forgotten, their appearance in Vigil is shrouded in mystery.","remnant的something long since forgotten, 其appearance在祈夜为shrouded在mystery."
Void Champion,虚空冠军
"Whenever you acquire or defeat a Void card in the center row, Rally: Void.","每当你 获取或 击败虚空卡牌在中央牌列, 集结: 虚空."
"Acquire Sadranis, Dark Savant.","获取萨德拉尼斯, 黑暗学者."
Sadranis,萨德拉尼斯
Mechana Champion,机械冠军
"Whenever you acquire or defeat a Mechana card in the center row, Rally: Mechana.","每当你 获取或 击败机械卡牌在中央牌列, 集结: 机械."
"Acquire Kor, the Ironmind.","获取科尔, 铁心."
Heroes,英雄
28 Days,28 往日
honor points,荣誉点数
Draw Deck,抽牌堆
Honor Points,荣誉点数
Power Card Deck,战力牌堆
Rune Card Deck,符文牌堆
"COST
The amount of Power you must spend to acquire this card.","COST
 amount的战力你 须花费以获取此牌."
"REWARD
What this monster does when defeated.","REWARD
What此怪物does当被击败."
<size=104>E</size>arth Tyrant,<size=104>E</size>arth暴君
Monsters,怪物
"FLAVOR TEXT
Flavor text has no game effect.","FLAVOR TEXT
Flavor text具有没有游戏效果."
"EFFECT
What the card does when played or in play.","EFFECT
What卡牌does当打出过或 在打出."
"COST
The number of Runes you must spend to acquire this card.","COST
 数量的 符文你 须花费以获取此牌."
"HONOR
How much Honor this card is worth.","HONOR
How等量的荣誉此牌为 价值为."
"FACTION
There are 4 different factions:
<color=#4cbbeb>Enlightened
<color=#7fc241>Lifebound
<color=#b6b6b6>Mechana
<color=#bb8bbe>Void
","FACTION
There为 4 different派系:
<color=#4cbbeb>启迪
<color=#7fc241>生命
<color=#b6b6b6>机械
<color=#bb8bbe>虚空"
This is the flavor part.,此为flavor part.
"Once per turn, when you acquire another Mechana Construct, you may put it directly in play.","每回合一次，当你 获取另一机械神器, 你可以将它放置直接在 打出."
<size=104>R</size>ocket Courier X-99,<size=104>R</size>ocket信使X-99
Constructs,神器s
Sharpen the mind and the sword will follow.,Sharpen心智和sword将跟随.
<size=104>A</size>rha Templar,<size=104></size>rha圣殿武士
Game End:,终局：
"<margin-right=8em>To defeat a Monster, you must have enough Power.  You may defeat any number of Monsters as long as you have enough Power.  Cards that are eligible to be defeated will glow red. 



","<margin-right=8em>以击败一个怪物, 你须拥有enough战力. 你可以击败任意数量的 怪物作为long作为你 拥有enough战力. 卡牌该 为eligible以是 被击败将glow red."
Defeating Monsters:,击败怪物：
Acquiring Heroes and Constructs:,获取英雄与神器：
Play Order:,行动顺序:
Destroy:,摧毁:
<color=#951719FF><B>Trophy:</B></color> You may banish this to gain the current Trophy Effect.,<color=#951719FF><B>战利品:</B></color> 你可以放逐此牌以 获得当前战利品效果.
Fanatic:,狂信者:
<size=104>H</size>oarding Tyrant,<size=104>H</size>oarding暴君
<color=#d8a6ffff>Event - Void,<color=#d8a6ffff>事件 - 虚空
Void Rising,虚空崛起
Event Cards:,事件卡牌:
Hold To Show Hero,按住显示英雄
Void Dream Vision,虚空梦境异象
Enlightened Dream Vision,圣贤梦境异象
Dream Vision,梦境异象
Dream Construct,梦神器
Mechana Dream Hero,机械梦 英雄
