en,zh
Have one of each trophy monster in play at the same time while playing with Storm of Souls,使用《灵魂风暴》时同时控制每种战利品怪物各一只
Have Umbral edge and Penumbral Edge in play at the same time,同时让暗影刃与半影刃在场
Hot Streak,连胜热潮
Hunting Party,狩猎小队
I Guess It Just Froze Over,想来地狱结冰了
Jubilee!,狂欢！
Kill the Cultist 1000 times,击败邪教徒 1000 次
Livin' On The Edge,刀锋边缘
Living The Dream,活在梦里
Lucky Godslayer,幸运弑神者
Master Assassin,大师刺客
Messenger Mandate,使者敕令
Monkopoly,僧侣垄断
Monster Mash,怪物盛宴
Monsters? You Don't Need No Stinkin' Monsters,怪物？才不需要那些臭怪物
More Than Meets The Eye,远不止表面
Night Owl,夜猫子
On Your Way,初出茅庐
"Ouch, That Stings",哎哟，真刺
Over 9000!!,超过九千！！
P.R.I.M.E.'d for Victory,P.R.I.M.E. 制胜
Pasythea Go,帕西提亚出发
Piper at the Gates of Dawn,黎明之门的吹笛人
"Play ""Naka, Emri's Chosen"" and ""Emri, Soulstealer"" on the same turn",同一回合打出「纳卡·艾姆瑞的天选者」与「窃魂者艾姆瑞」
Play 1000 Constructs,打出 1000 件神器
Play 5 Lifebound heroes in a single turn while playing with only Storm of Souls,仅用《灵魂风暴》时，同一回合打出 5 张命约英雄
Play 5 Soul Gems in 1 turn,同一回合打出 5 枚灵魂宝石
"Play Dark Monk, Psionic Monk, and Monk of the Stone Circle in the same turn",同一回合打出暗僧、灵能僧与石环僧
Play Deadeye Assassin with 10 or more Void cards in your discard pile,弃牌堆有 10 张或更多虚空卡牌时打出神射手刺客
Play Flare Tracker and Sureshot Tracker in the same turn,同一回合打出闪光追踪者与神射手追踪者
"Play Hedron Cannon, Plasma Cannon, and Canon Templar on the same turn",同一回合打出赫德隆加农、等离子加农与教典圣殿武士
Play Mechaphoenix three times in one turn,同一回合打出机械凤凰三次
Reach Legendary Status with all Legendary Characters,使所有传奇角色达到传奇地位
Recruiter,征召官
Roll the Delirium Die using the Dream Dealer's effect,用梦境庄家的效果掷谵妄骰
Roll three 6s on the Delirium Die in a single game,同一局在谵妄骰上掷出三次 6
Serenity Now,此刻宁静
Shackled,镣铐
Soul Collector,灵魂收集者
Soul Fire,灵魂之火
Soul Sisters,灵魂姐妹
Stay Focused,保持专注
Tag Team,双打搭档
Take all three Temples from your opponent(s) on the final turn of the game and win,终局回合夺走对手全部三座神殿并获胜
Take an extra turn with Wandering Askara,用流浪阿斯卡拉获得额外回合
The Benjamin,百战老兵
The Fifth Elements,第五元素
The Tall Man Approves,高个儿点头
Three Cannon Salute,三炮齐鸣
Thrice Reborn,三度重生
Time Machine,时间机器
Time Traveler,时间旅人
Transform all of the cards in Darkness Unleashed,转化《黑暗释放》中的所有卡牌
Transform all of the cards in Deliverance,转化《救赎》中的所有卡牌
Treasure Trove,珍宝库
Trophy Room,战利品室
United We Stand,众志成城
Use a Boon from every faction in one turn,同一回合使用每个派系的恩赐各一次
Use each of the Soul Gems,使用每一种灵魂宝石
Use the Recur effect found on all cards with a Recur effect in Delirium,使用《谵妄》中所有带复发效果卡牌的复发
Use Wicked End to defeat Ender of Days,用险恶终结击败末日终结者
"Using Dhartha, Mechamonk, draw seven or more cards in a single turn",用达萨·机械僧在同一回合抽七张或更多牌
"Using only Deliverance, finish a game with only Dreambind cards in your deck",仅用《救赎》，终局时牌库只有梦缚牌
"Using only Valley of the Ancients, draw your entire deck using Jubilant Monk",仅用《远古山谷》，用欢喜僧抽光整个牌库
Vanquisher,征服者
Weapon X,武器 X
Whoa. Whoa. Whoa. What are you doing?,等等等等，你在干什么？
Wicked Game,险恶游戏
Win 10 games in a row,连胜 10 局
Win 10 games in a row against other players,对战其他玩家连胜 10 局
Win 10 games without killing the Cultist,不击败邪教徒的情况下赢得 10 局
Win 100 games,赢得 100 局游戏
Win a game against another player,对战其他玩家并获胜
Win a game as a result of P.R.I.M.E. Directive,因 P.R.I.M.E. 指令获胜
Win a game where the only cards you've acquired are Day cards,所获取卡牌全为昼牌时获胜
Win a game where the only cards you've acquired are Night cards,所获取卡牌全为夜牌时获胜
Win a game with 5 or fewer cards in your deck,牌库中卡牌不超过 5 张时获胜
Win a game with each of the Champions,以每位冠军各赢得一局
Win a game with no Infest cards in your deck using Gift of the Elements,使用《元素恩赐》且牌库无感染牌时获胜
Win a game with only two factions in your deck while playing with only Realms Unraveled,仅用《诸界瓦解》且牌库只有两个派系时获胜
Win a game.,赢得一局游戏。
Win the game with the effect of Arha Emissary,用亚哈使者的效果赢得游戏
Win two Fate Auctions on a single turn.,同一回合赢得两次天命拍卖。
Yoink!,抢！
Yolo Twice,再赌一把
You Must Be Aaron,你一定是亚伦
