id,area,match,key,context,en,zh,status,notes,scope,source
glo_36c200cd774c,glossary,glossary,,scope=world,Aklys the Scourge,天灾阿克里斯,draft,,world,new
glo_5466f0765d2b,glossary,glossary,,scope=world,Adayu,阿达尤,draft,领域解开。,world,community
glo_107bb10ac425,glossary,glossary,,scope=world,Kythis,凯西斯,draft,灵魂风暴守门人。,world,community
glo_e29d636cd8cc,glossary,glossary,,scope=world,Gatekeeper Kythis,守门人凯西斯,draft,,world,community
glo_7cbab4c46fa6,glossary,glossary,,scope=world,Well of Souls,灵魂之井,draft,,world,community
glo_39ca681376bc,glossary,glossary,,scope=world,New Vigil,新祈夜,draft,,world,community
glo_139b3299380e,glossary,glossary,,scope=world,Fallen One,堕落者,draft,,world,official-anshashen
glo_ffe1dd3446bb,glossary,glossary,,scope=world,the Cult,教团,draft,,world,community
glo_e02df576fd7b,glossary,glossary,,scope=world,Pasythea,帕西提亚,draft,救赎 / 梦境。卡表同名。,world,community
glo_af179df3d4a0,glossary,glossary,,scope=world,Alosya,阿洛西亚,draft,上古山谷。,world,community
glo_ead61d94243f,glossary,glossary,,scope=card,Nairi,奈莉,draft,,card,community
glo_33341efe4aa5,glossary,glossary,,scope=faction,Enlightened,圣贤,draft,360百科/方塔桌游。勿用「启迪」。,faction,community
glo_2b587d34c11b,glossary,glossary,,scope=faction,Lifebound,命约,draft,360百科/方塔桌游。勿用「生命」（与上古山谷生命指示物冲突）。,faction,community
glo_5f06d723cb98,glossary,glossary,,scope=faction,Mechana,机械,draft,360百科/方塔桌游。,faction,community
glo_8542fcef2adf,glossary,glossary,,scope=faction,Void,虚空,draft,派系名。区域名用「虚空区」。,faction,official-anshashen
glo_31a32694340a,glossary,glossary,,scope=faction,Common,普通,draft,图鉴侧栏。勿用「中立」。,faction,community
glo_ac64fb0c8bb6,glossary,glossary,,scope=faction,Monster,怪物,draft,图鉴侧栏 / 卡牌类型。,faction,official-anshashen
glo_7bc0296873a9,glossary,glossary,,scope=type,Hero,英雄,draft,,type,official-anshashen
glo_5ee63d307c8e,glossary,glossary,,scope=type,Construct,神器,draft,早期官方译法。勿用「建筑/构装」。,type,official-anshashen
glo_fca9589a66dc,glossary,glossary,,scope=type,Event,事件,draft,,type,community
glo_d49eeb02362f,glossary,glossary,,scope=type,Treasure,宝藏,draft,灵魂风暴起。,type,community
glo_b27c4de95906,glossary,glossary,,scope=type,Soul Gem,灵魂宝石,draft,不朽英雄。,type,community
glo_625e12eb38f0,glossary,glossary,,scope=type,Portal,传送门,draft,推广卡。,type,community
glo_8c475870f4e4,glossary,glossary,,scope=type,Temple,神殿,draft,上古山谷 / 元素的馈赠。,type,community
glo_b84d26162bac,glossary,glossary,,scope=resource,Rune,符文,draft,维基。勿用「符石/魔力」。,resource,official-anshashen
glo_d306617e64af,glossary,glossary,,scope=resource,Runes,符文,draft,,resource,official-anshashen
glo_692c5f1b92b7,glossary,glossary,,scope=resource,Power,战力,draft,维基。勿用「力量」。,resource,official-anshashen
glo_517ef8fafc7d,glossary,glossary,,scope=resource,Honor,荣誉,draft,维基。,resource,official-anshashen
glo_564a14a5a07a,glossary,glossary,,scope=resource,Honor token,荣誉点数,draft,维基。360百科亦作「荣誉标示物」。,resource,official-anshashen
glo_b3e9cdfb26dc,glossary,glossary,,scope=resource,Honor tokens,荣誉点数,draft,,resource,official-anshashen
glo_65739c19138f,glossary,glossary,,scope=zone,Honor Pool,荣誉池,draft,,zone,community
glo_1f254cb6fc75,glossary,glossary,,scope=resource,Energy,能量,draft,祈夜崛起起的资源。关键字 Energize 译「充能」。,resource,community
glo_f192cee88dc8,glossary,glossary,,scope=resource,Insight,洞察,draft,梦境。,resource,community
glo_63bfe65d355e,glossary,glossary,,scope=resource,Renown,声望,draft,史诗传奇。,resource,new
glo_6b401d545f37,glossary,glossary,,scope=resource,Life,生命,draft,上古山谷指示物。勿与命约（Lifebound）混淆。,resource,community
glo_5d5018ccf20a,glossary,glossary,,scope=resource,Death,死亡,draft,上古山谷指示物。,resource,community
glo_bd01589f2d61,glossary,glossary,,scope=zone,Center Row,中央牌列,draft,维基。公共6张。,zone,official-anshashen
glo_47564b796bba,glossary,glossary,,scope=zone,Center Row Draw Pile,中央牌库,draft,维基。,zone,official-anshashen
glo_4b8d6c7eec39,glossary,glossary,,scope=zone,Center Deck,中央牌库,draft,,zone,official-anshashen
glo_4f23df87197f,glossary,glossary,,scope=zone,the void,虚空区,draft,区域。派系仍为「虚空」。,zone,official-anshashen
glo_54e7dfa735d8,glossary,glossary,,scope=zone,the Void,虚空区,draft,,zone,official-anshashen
glo_d5fbaaa8cfb0,glossary,glossary,,scope=zone,Discard Pile,弃牌堆,draft,维基亦作「弃牌区」。界面用「弃牌堆」。,zone,official-anshashen
glo_bd366748a2e9,glossary,glossary,,scope=zone,Discard Zone,弃牌区,draft,,zone,official-anshashen
glo_5f7706ea3b5e,glossary,glossary,,scope=zone,Player Draw Pile,玩家牌库,draft,维基。,zone,official-anshashen
glo_9d6d40af480a,glossary,glossary,,scope=zone,Deck,牌库,draft,,zone,official-anshashen
glo_1bd6dc742de9,glossary,glossary,,scope=zone,Hand,手牌,draft,,zone,official-anshashen
glo_0b4df7324e73,glossary,glossary,,scope=zone,in play,战场,draft,维基：牌库、手牌、弃牌堆和战场。,zone,official-anshashen
glo_41adfa3efe6f,glossary,glossary,,scope=zone,Play Area,战场,draft,,zone,community
glo_7b8a1077a312,glossary,glossary,,scope=zone,Portal Deck,传送门牌库,draft,,zone,community
glo_f439de84cb35,glossary,glossary,,scope=zone,Always Available,始终可用,draft,360百科。起始可招募区。,zone,community
glo_559b6b7ed552,glossary,glossary,,scope=zone,Always available,始终可用,draft,,zone,community
glo_c0d5593ee5c9,glossary,glossary,,scope=verb,Acquire,获取,draft,花费符文取得英雄/神器。,verb,official-anshashen
glo_d639630bf9b6,glossary,glossary,,scope=verb,Defeat,击败,draft,花费战力消灭怪物。,verb,official-anshashen
glo_76fd60d13cd9,glossary,glossary,,scope=verb,Banish,放逐,draft,移入虚空区。,verb,official-anshashen
glo_8fa0fea3dca2,glossary,glossary,,scope=verb,Discard,弃牌,draft,手牌放入弃牌堆。,verb,official-anshashen
glo_400dde138489,glossary,glossary,,scope=verb,Destroy,摧毁,draft,灵魂风暴：将神器放入弃牌区。此前版本称弃牌。,verb,official-anshashen
glo_182555c72a94,glossary,glossary,,scope=verb,Draw,抽,draft,抽一张牌。,verb,official-anshashen
glo_b761423ca0b9,glossary,glossary,,scope=verb,Play,打出,draft,,verb,official-anshashen
glo_5f58cabf2656,glossary,glossary,,scope=verb,put into play,进入战场,draft,,verb,community
glo_ed7fcf306cd0,glossary,glossary,,scope=verb,Put into play,进入战场,draft,,verb,community
glo_cd216031ed40,glossary,glossary,,scope=verb,Shuffle,洗牌,draft,,verb,official-anshashen
glo_8143fa5aea32,glossary,glossary,,scope=verb,Reveal,展示,draft,,verb,community
glo_a9cf1590a7b9,glossary,glossary,,scope=verb,Look at,查看,draft,,verb,community
glo_f7ec6c5a725d,glossary,glossary,,scope=verb,Gain,获得,draft,,verb,official-anshashen
glo_a8e365e76eca,glossary,glossary,,scope=verb,Lose,失去,draft,,verb,community
glo_4b428492cae8,glossary,glossary,,scope=verb,Choose,选择,draft,,verb,community
glo_c0fc311f6c63,glossary,glossary,,scope=verb,Control,控制,draft,,verb,community
glo_5db66958448b,glossary,glossary,,scope=verb,Replace,替换,draft,,verb,community
glo_3d46eca7d135,glossary,glossary,,scope=verb,Copy,复制,draft,,verb,community
glo_5a66baff0c18,glossary,glossary,,scope=verb,Spend,花费,draft,,verb,community
glo_13150e5e0bd9,glossary,glossary,,scope=verb,Pay,支付,draft,,verb,community
glo_afb4ef861fa5,glossary,glossary,,scope=label,Reward,奖励,draft,击败怪物。,label,official-anshashen
glo_27c5c1820f32,glossary,glossary,,scope=label,Reward:,奖励：,draft,卡面残留英文。,label,official-anshashen
glo_ece8e2cc8e65,glossary,glossary,,scope=label,Fate,天命,draft,邪神归来。进入中央牌列时结算。,label,official-anshashen
glo_68dedd43b498,glossary,glossary,,scope=label,FATE,天命,draft,,label,official-anshashen
glo_54da439124de,glossary,glossary,,scope=label,FATE:,天命：,draft,,label,official-anshashen
glo_08f530061680,glossary,glossary,,scope=label,Trophy,战利品,draft,灵魂风暴。击败后可置于玩家前。,label,official-anshashen
glo_ce5f4e5ad772,glossary,glossary,,scope=label,Trophy:,战利品：,draft,,label,official-anshashen
glo_fe0083a63aeb,glossary,glossary,,scope=label,Trophy Monster,战利品怪物,draft,维基。,label,official-anshashen
glo_6352083dd889,glossary,glossary,,scope=label,Trophy Monsters,战利品怪物,draft,,label,official-anshashen
glo_2372b0e7c518,glossary,glossary,,scope=label,Ongoing,持续,draft,,label,community
glo_7048e431a75e,glossary,glossary,,scope=label,ONGOING,持续,draft,,label,community
glo_db17d0dc9676,glossary,glossary,,scope=label,ONGOING:,持续：,draft,,label,community
glo_3b1a92f0b426,glossary,glossary,,scope=label,Ongoing Trophy,持续战利品,draft,,label,community
glo_99a487f6a703,glossary,glossary,,scope=label,Event Trophy,事件战利品,draft,,label,community
glo_87e32eabe670,glossary,glossary,,scope=label,Unbanishable,不可放逐,draft,维基。如堕落之神萨麦尔。,label,official-anshashen
glo_f37c49e65929,glossary,glossary,,scope=label,Unite,联合,draft,冠军黎明。,label,community
glo_7f22f062a9c2,glossary,glossary,,scope=label,UNITE,联合,draft,,label,community
glo_14ca5a09ea48,glossary,glossary,,scope=label,MULTI-UNITE,多重联合,draft,,label,community
glo_24819875d013,glossary,glossary,,scope=label,Multi-Unite,多重联合,draft,,label,community
glo_d5691203527d,glossary,glossary,,scope=label,Energize,充能,draft,祈夜崛起 / 领域解开。资源名是「能量」。,label,community
glo_67fac0e84b50,glossary,glossary,,scope=label,ENERGIZE,充能,draft,,label,community
glo_f6dff467f470,glossary,glossary,,scope=label,Rally,集结,draft,冠军黎明。,label,community
glo_ac1a56ee8558,glossary,glossary,,scope=label,Rally: Enlightened,集结：圣贤,draft,,label,community
glo_52a23842b287,glossary,glossary,,scope=label,Rally: Lifebound,集结：命约,draft,,label,community
glo_8a5a023409ba,glossary,glossary,,scope=label,Rally: Mechana,集结：机械,draft,,label,community
glo_3c1704f40814,glossary,glossary,,scope=label,Rally: Void,集结：虚空,draft,,label,community
glo_9080964e863f,glossary,glossary,,scope=label,Rally: Monster,集结：怪物,draft,,label,community
glo_41310f54e701,glossary,glossary,,scope=label,Day,昼,draft,黑暗释放。,label,community
glo_565841551bbb,glossary,glossary,,scope=label,DAY,昼,draft,,label,community
glo_0f72e2165c73,glossary,glossary,,scope=label,DAY:,昼：,draft,,label,community
glo_87bb1074bf3e,glossary,glossary,,scope=label,Night,夜,draft,黑暗释放。,label,community
glo_546e98de64af,glossary,glossary,,scope=label,NIGHT,夜,draft,,label,community
glo_1a35ada756a0,glossary,glossary,,scope=label,NIGHT:,夜：,draft,,label,community
glo_73d1fdf5439e,glossary,glossary,,scope=label,Empower,赋力,draft,《创升纪元：元素的馈赠》评测/规则用语。,label,official-chuangsheng
glo_7092491ea177,glossary,glossary,,scope=label,EMPOWER,赋力,draft,,label,official-chuangsheng
glo_e3b6e6de8d22,glossary,glossary,,scope=label,Infest,感染,draft,《创升纪元：元素的馈赠》。,label,official-chuangsheng
glo_bcf31e1fb440,glossary,glossary,,scope=label,INFEST,感染,draft,,label,official-chuangsheng
glo_4c5ac37c5b0b,glossary,glossary,,scope=label,Infested Monster,感染怪物,draft,,label,official-chuangsheng
glo_9a64cb8c6669,glossary,glossary,,scope=label,Transform,转化,draft,《创升纪元：元素的馈赠》转化事件。,label,official-chuangsheng
glo_eccd5c0de863,glossary,glossary,,scope=label,TRANSFORM,转化,draft,,label,official-chuangsheng
glo_0db5622220f1,glossary,glossary,,scope=label,Transform Event,转化事件,draft,,label,official-chuangsheng
glo_17472efabb6b,glossary,glossary,,scope=label,Serenity,宁静,draft,谵妄。,label,community
glo_0a15684c9482,glossary,glossary,,scope=label,SERENITY,宁静,draft,,label,community
glo_14c96ef53df1,glossary,glossary,,scope=label,Echo,回响,draft,谵妄。,label,community
glo_9e4bd24f0984,glossary,glossary,,scope=label,ECHO,回响,draft,,label,community
glo_c5b7219362f9,glossary,glossary,,scope=label,Dreambind,梦缚,draft,梦境。,label,community
glo_4e730e8cbea4,glossary,glossary,,scope=label,Phantasm,幻象,draft,救赎。,label,community
glo_4cd79bc9b063,glossary,glossary,,scope=label,Plunder,掠夺,draft,救赎。,label,community
glo_0cd49de0a86b,glossary,glossary,,scope=label,Champion,冠军,draft,冠军黎明。,label,community
glo_5aeee97951f8,glossary,glossary,,scope=label,Legendary,传奇,draft,史诗传奇。,label,community
glo_8affe91be14e,glossary,glossary,,scope=label,Legendary Boon,传奇恩赐,draft,,label,community
glo_8cb4c6f8e88e,glossary,glossary,,scope=label,Auction,竞拍,draft,,label,community
glo_8dac302d81c7,glossary,glossary,,scope=label,Fate Auction,天命竞拍,draft,谵妄。支付洞察竞拍效果。,label,new
glo_e9aca2d65ef0,glossary,glossary,,scope=label,Fate - Auction,天命 - 竞拍,draft,,label,new
glo_b5724391795e,glossary,glossary,,scope=label,Recur,复发,draft,谵妄。支付洞察后再次获得该牌效果。,label,new
glo_a61df66d4ac6,glossary,glossary,,scope=label,Recur:,复发：,draft,,label,new
glo_40598a07d1f2,glossary,glossary,,scope=zone,Legendary Track,传奇轨道,draft,史诗传奇。,zone,new
glo_353172cabd91,glossary,glossary,,scope=type,Legendary Character,传奇角色,draft,史诗传奇。,type,new
glo_59df6cd555f4,glossary,glossary,,scope=label,Legendary Status,传奇地位,draft,,label,new
glo_30ff288b119f,glossary,glossary,,scope=type,Legendary Cards,传奇卡牌,draft,,type,new
glo_3841401a5393,glossary,glossary,,scope=label,Renown Marker,声望标记,draft,史诗传奇。,label,new
glo_0a5b7063112b,glossary,glossary,,scope=label,Renown Markers,声望标记,draft,,label,new
glo_da80a23d57aa,glossary,glossary,,scope=label,Renown Threshold Effect,声望阈值效果,draft,,label,new
glo_3aaf012bcaee,glossary,glossary,,scope=label,Renown Threshold Effects,声望阈值效果,draft,,label,new
glo_ca185957ed9c,glossary,glossary,,scope=label,Boon,恩赐,draft,史诗传奇。Legendary Boon 作「传奇恩赐」。,label,community
glo_c7f78f6ba113,glossary,glossary,,scope=label,Boons,恩赐,draft,,label,community
glo_8bd10d7d0d79,glossary,glossary,,scope=label,Milestone,里程碑,draft,传奇轨道第3/6/9格。,label,new
glo_70b2da83a716,glossary,glossary,,scope=resource,Keystone,钥石,draft,上古山谷。用于夺取/启动神殿。,resource,new
glo_6d5d7a27565f,glossary,glossary,,scope=resource,Keystones,钥石,draft,,resource,new
glo_35fd123975eb,glossary,glossary,,scope=resource,Life Keystone,生命钥石,draft,,resource,new
glo_1d81bf2f28a1,glossary,glossary,,scope=resource,Death Keystone,死亡钥石,draft,,resource,new
glo_e66e9492a142,glossary,glossary,,scope=type,Temple of Life,生命神殿,draft,上古山谷。,type,new
glo_1d4e4f456bf6,glossary,glossary,,scope=type,Temple of Death,死亡神殿,draft,,type,new
glo_55a6669d71ec,glossary,glossary,,scope=type,Temple of Immortality,不朽神殿,draft,,type,new
glo_f7307e2d0882,glossary,glossary,,scope=type,Vision,异象,draft,梦境。,type,community
glo_dc24dfa7f01d,glossary,glossary,,scope=type,Vision Cards,异象卡牌,draft,,type,community
glo_a1bc3a81c6d4,glossary,glossary,,scope=type,Dream Vision,梦境异象,draft,,type,community
glo_52679a5145d9,glossary,glossary,,scope=zone,Dream Deck,梦境牌库,draft,,zone,community
glo_41c640f5868a,glossary,glossary,,scope=ui,Dreamscape & Dream Deck,梦境与梦境牌库,draft,,ui,new
glo_00eec54565d6,glossary,glossary,,scope=label,Dual Cost,双费,draft,暗影之战。须同时支付符文与战力。,label,new
glo_1b441cd6babb,glossary,glossary,,scope=type,Dual Cost Cards,双费卡牌,draft,,type,new
glo_48f3c5913b90,glossary,glossary,,scope=type,Light & Dark Cards,光暗卡牌,draft,暗影之战。,type,new
glo_19627641defc,glossary,glossary,,scope=type,Dark Energy Shard,暗能碎片,draft,黑暗释放。,type,community
glo_6b51ba1c4bd6,glossary,glossary,,scope=type,Dark Energy Shards,暗能碎片,draft,,type,community
glo_e762e32025ce,glossary,glossary,,scope=type,Dark Energy Shards:,暗能碎片：,draft,,type,community
glo_de1ee0e85d8c,glossary,glossary,,scope=type,Energy Shard,能量碎片,draft,祈夜崛起起始牌。,type,community
glo_a665e9f7cd50,glossary,glossary,,scope=type,Treasure Card,宝藏卡,draft,,type,community
glo_31a57df6057c,glossary,glossary,,scope=type,Treasure Cards,宝藏卡,draft,,type,community
glo_faeea7dff89b,glossary,glossary,,scope=label,Center Row Effects,中央牌列效果,draft,,label,new
glo_a107740c1f1e,glossary,glossary,,scope=zone,Always Available Zone,始终可用区,draft,,zone,community
glo_397d946a8e42,glossary,glossary,,scope=type,Multifaction Cards,多派系卡牌,draft,,type,community
glo_fb89fb8e2bf6,glossary,glossary,,scope=type,Faction Monsters,派系怪物,draft,,type,new
glo_66d5b94f3c02,glossary,glossary,,scope=type,Champion Card,冠军卡,draft,,type,community
glo_801d591e45de,glossary,glossary,,scope=ui,Champions & Reputation,冠军与名望,draft,,ui,new
glo_4c1df995a9a7,glossary,glossary,,scope=resource,Reputation,名望,draft,冠军黎明。勿与史诗传奇「声望」(Renown)混淆。,resource,community
glo_86da45f6655f,glossary,glossary,,scope=type,Transform Cards,转化卡,draft,,type,official-chuangsheng
glo_9f11591b0a4d,glossary,glossary,,scope=type,Transform Cards:,转化卡：,draft,,type,official-chuangsheng
glo_0a684e11ef7c,glossary,glossary,,scope=type,Transforming Events,转化事件,draft,,type,official-chuangsheng
glo_f209cb2cadc3,glossary,glossary,,scope=type,Infest Monsters,感染怪物,draft,,type,official-chuangsheng
glo_689bf273aa4e,glossary,glossary,,scope=type,Dreambind Monsters,梦缚怪物,draft,,type,community
glo_2d38830385bc,glossary,glossary,,scope=type,Dreamborn Cards,梦生卡牌,draft,,type,community
glo_116d7daefcbd,glossary,glossary,,scope=type,Event Cards:,事件卡：,draft,,type,community
glo_a2ea94c032aa,glossary,glossary,,scope=type,Fate Cards:,天命卡：,draft,,type,official-anshashen
glo_5151beda9693,glossary,glossary,,scope=label,Trophy Monsters:,战利品怪物：,draft,,label,official-anshashen
glo_53412641a272,glossary,glossary,,scope=type,Soul Gems:,灵魂宝石：,draft,,type,community
glo_ab92d310b83a,glossary,glossary,,scope=ui,New Keywords,新关键字,draft,,ui,new
glo_86c517e211fb,glossary,glossary,,scope=ui,Gaining Renown,获得声望,draft,,ui,new
glo_94195a14d17b,glossary,glossary,,scope=ui,What's New,新内容,draft,,ui,new
glo_5b69cc1cbf09,glossary,glossary,,scope=ui,Introduction,引言,draft,,ui,new
glo_c7daab2c9767,glossary,glossary,,scope=ui,Play Order,出牌顺序,draft,,ui,new
glo_85068375e126,glossary,glossary,,scope=ui,Play Order:,出牌顺序：,draft,,ui,new
glo_b092e8c49a29,glossary,glossary,,scope=ui,Resources:,资源：,draft,,ui,new
glo_001fc9f2809a,glossary,glossary,,scope=ui,Game End:,游戏结束：,draft,,ui,new
glo_583e611e2e5d,glossary,glossary,,scope=ui,Defeating Monsters:,击败怪物：,draft,,ui,new
glo_ab9747c6feb3,glossary,glossary,,scope=ui,Honor Pool:,荣誉池：,draft,,ui,new
glo_21a6ee722ba7,glossary,glossary,,scope=resource,Honor Points,荣誉点数,draft,,resource,official-anshashen
glo_c83977219c09,glossary,glossary,,scope=resource,honor points,荣誉点数,draft,,resource,official-anshashen
glo_be3ad71d98be,glossary,glossary,,scope=zone,Draw Deck,抽牌牌库,draft,,zone,new
glo_cca62d866851,glossary,glossary,,scope=zone,Action Area,行动区,draft,,zone,new
glo_5e177026d626,glossary,glossary,,scope=zone,Construct Tray,神器托盘,draft,,zone,new
glo_24b091128af6,glossary,glossary,,scope=ui,Opponent Area,对手区,draft,,ui,new
glo_9c7805e30093,glossary,glossary,,scope=ui,Player Area,玩家区,draft,,ui,new
glo_84021c232ae5,glossary,glossary,,scope=ui,Top Area,顶部区域,draft,,ui,new
glo_1623cc490dde,glossary,glossary,,scope=ui,Info Line,信息栏,draft,,ui,new
glo_ced3fafd11f1,glossary,glossary,,scope=ui,Opponent Box,对手框,draft,,ui,new
glo_447da8a70fdf,glossary,glossary,,scope=ui,Online Indicator,在线指示,draft,,ui,new
glo_c0fbb58db506,glossary,glossary,,scope=zone,Event Zone,事件区,draft,,zone,community
glo_a44d413e9a6a,glossary,glossary,,scope=zone,Power Card Deck,战力牌库,draft,,zone,new
glo_7892bd70eddf,glossary,glossary,,scope=zone,Rune Card Deck,符文牌库,draft,,zone,new
glo_192ae3e0dfaf,glossary,glossary,,scope=zone,Global Honor Pool,全局荣誉池,draft,,zone,new
glo_8ec03a0d7dd4,glossary,glossary,,scope=ui,Treasure Count,宝藏计数,draft,,ui,new
glo_356eb369c784,glossary,glossary,,scope=label,Dreamborn,梦生,draft,,label,community
glo_9ccf1f51d955,glossary,glossary,,scope=label,Delirium Die,谵妄骰,draft,谵妄。,label,new
glo_f4f574b4ec08,glossary,glossary,,scope=label,Soul counter,灵魂指示物,draft,,label,community
glo_55f1a370e35b,glossary,glossary,,scope=label,Soul counters,灵魂指示物,draft,,label,community
glo_39eafc28e056,glossary,glossary,,scope=label,Wish counter,愿望指示物,draft,,label,community
glo_478846a33820,glossary,glossary,,scope=label,Wish counters,愿望指示物,draft,,label,community
glo_5dad4bab9399,glossary,glossary,,scope=label,Once per turn,每回合一次,draft,,label,community
glo_29ba82a24335,glossary,glossary,,scope=label,without paying its cost,无需支付费用,draft,,label,community
glo_be0651f28328,glossary,glossary,,scope=card,Apprentice,学徒,draft,起始牌库。维基/360百科。,card,official-anshashen
glo_4d2438fa4f32,glossary,glossary,,scope=card,Militia,民兵,draft,起始牌库。,card,official-anshashen
glo_6b79a5749b8c,glossary,glossary,,scope=card,Mystic,秘教士,draft,维基/官方卡面。360百科偶作「秘修士」，不用。,card,official-anshashen
glo_82723173c58c,glossary,glossary,,scope=card,Heavy Infantry,重装步兵,draft,,card,official-anshashen
glo_75e021d4f91d,glossary,glossary,,scope=card,Cultist,邪教徒,draft,,card,official-anshashen
glo_c5c2fd03e235,glossary,glossary,,scope=card,Fanatic,狂信者,draft,维基。灵魂风暴始终可用。,card,official-anshashen
glo_9e9d455206fe,glossary,glossary,,scope=card,Fanatic:,狂信者：,draft,,card,official-anshashen
glo_4413591d7501,glossary,glossary,,scope=verb,Destroy:,摧毁：,draft,,verb,official-anshashen
glo_922c85fcfdd8,glossary,glossary,,scope=card,Void Rising,虚空崛起,draft,灵魂风暴事件。,card,community
glo_800a692088c8,glossary,glossary,,scope=type,Temples,神殿,draft,,type,community
glo_a566b8a68bec,glossary,glossary,,scope=set,Chronicle of the Godslayer,弑神编年史,draft,方盒子365。,set,official-anshashen
glo_d32ef3b6e35d,glossary,glossary,,scope=set,10th Anniversary,十周年,draft,,set,community
glo_242e8aa8513f,glossary,glossary,,scope=set,Chronicle of the Godslayer 10th Anniversary,弑神编年史十周年,draft,,set,community
glo_a6024785ec17,glossary,glossary,,scope=set,Return of the Fallen,邪神归来,draft,方盒子365。,set,official-anshashen
glo_4920bbca3d14,glossary,glossary,,scope=set,Storm of Souls,灵魂风暴,draft,方盒子365。,set,official-anshashen
glo_39b94f7eadb1,glossary,glossary,,scope=set,Immortal Heroes,不朽英雄,draft,,set,official-anshashen
glo_67d511d02ece,glossary,glossary,,scope=set,Rise of Vigil,祈夜崛起,draft,,set,community
glo_8fd783493a62,glossary,glossary,,scope=set,Darkness Unleashed,黑暗释放,draft,,set,community
glo_1ed1eabf4198,glossary,glossary,,scope=set,Realms Unraveled,领域解开,draft,,set,community
glo_7e5ee2cf90a7,glossary,glossary,,scope=set,Dawn of Champions,冠军黎明,draft,,set,community
glo_589c0b380c1f,glossary,glossary,,scope=set,Dreamscape,梦境,draft,,set,community
glo_7eedec4ad1f8,glossary,glossary,,scope=set,War of Shadows,暗影之战,draft,,set,community
glo_f2d53281b7b4,glossary,glossary,,scope=set,Gift of the Elements,元素的馈赠,draft,米宝海豚《创升纪元：元素的馈赠》。,set,official-chuangsheng
glo_58306f17d55d,glossary,glossary,,scope=set,Ascension: Gift of the Elements,创升纪元：元素的馈赠,draft,,set,official-chuangsheng
glo_052881612fbf,glossary,glossary,,scope=set,Valley of the Ancients,上古山谷,draft,,set,community
glo_173342f55939,glossary,glossary,,scope=set,Delirium,谵妄,draft,,set,new
glo_0cc355eedba3,glossary,glossary,,scope=set,Deliverance,救赎,draft,,set,new
glo_92dbae965df7,glossary,glossary,,scope=set,Legends,史诗传奇,draft,,set,community
glo_5bb810515bca,glossary,glossary,,scope=set,Promo,推广卡,draft,界面「Promo N」作「特典 N」。,set,community
glo_e7606523fd24,glossary,glossary,,scope=set,Promos,推广卡,draft,,set,community
glo_7da34c56d6ed,glossary,glossary,,scope=ui,App Store,商店,draft,主菜单。勿用「内购店/应用商店」。,ui,new
glo_b3df697c9e14,glossary,glossary,,scope=ui,In-App Store,商店,draft,,ui,new
glo_2159c6ace160,glossary,glossary,,scope=ui,内购店,商店,draft,旧译兼容。,ui,new
glo_f6e660d18af3,glossary,glossary,,scope=ui,应用商店,商店,draft,旧译兼容。,ui,new
glo_361c55473672,glossary,glossary,,scope=ui,Card Gallery,卡牌图鉴,draft,,ui,new
glo_af77c8406125,glossary,glossary,,scope=ui,Rulebook,规则书,draft,,ui,new
glo_4449d88c69b9,glossary,glossary,,scope=ui,Tutorial,教程,draft,,ui,new
