id,area,match,key,context,en,zh,status,notes,card_id,card_set,field
car_bf48b1ed1a84,cards_lua,lua,,card=Hedron Flare;field=effect_text;set=promo,"Once per turn, you may acquire a Mechana Hero in the center row without paying its cost.",每回合一次，你可以获取机械英雄在中央牌列无需支付费用.,draft,,Hedron Flare,promo,effect_text
car_08d91dca864f,cards_lua,lua,,"card=Cetra, Guide of Ogo;field=display_name;set=promo","Cetra, Guide of Ogo",奥戈向导塞特拉,draft,,"Cetra, Guide of Ogo",promo,display_name
car_023478b79203,cards_lua,lua,,"card=Cetra, Guide of Ogo;field=effect_text;set=promo",Acquire all Heroes in the center row without paying their costs. Put them on top of your deck in any order.,获取所有英雄在中央牌列无需支付费用. 放置它们放到你的牌库顶在 任意秩序.,draft,,"Cetra, Guide of Ogo",promo,effect_text
car_80626878aed6,cards_lua,lua,,card=Ring of Life;field=display_name;set=promo,Ring of Life,生命之环,draft,,Ring of Life,promo,display_name
car_77b6ae159de0,cards_lua,lua,,card=Ring of Life;field=effect_text;set=promo,"Once per turn, if you have played a Lifebound Hero, gain 1R. When Ring of Life enters play, choose a faction. Your Heroes of that factions are also Lifebound Heroes.",每回合一次，若你本回合已打出命约英雄，获得 1 符文。当生命之戒进入战场时，选择一个派系。你该派系的英雄也视为命约英雄。,draft,pass4,Ring of Life,promo,effect_text
car_c776285a6544,cards_lua,lua,,card=Ender of Days;field=display_name;set=promo,Ender of Days,终日者,draft,,Ender of Days,promo,display_name
car_e03bf7dbcbdc,cards_lua,lua,,card=Ender of Days;field=effect_text;set=promo,Reward: Gain 10H. Remove all Honor from the Honor Pool.,奖励：获得 10 荣誉。移除荣誉池中的全部荣誉。,draft,pass3b,Ender of Days,promo,effect_text
car_83a9b6055ea4,cards_lua,lua,,card=Leprechaun;field=display_name;set=promo,Leprechaun,小矮妖,draft,,Leprechaun,promo,display_name
car_03fc6c3742c3,cards_lua,lua,,card=Leprechaun;field=effect_text;set=promo,Gain 2R.  Acquire a Pot of Gold from the End of the Rainbow or from another player's control.,获得2符文. 获取一个罐的 金从彩虹尽头或 从另一名玩家的控制.,draft,,Leprechaun,promo,effect_text
car_85030fdbaa7f,cards_lua,lua,,card=Pot of Gold;field=display_name;set=promo,Pot of Gold,金罐,draft,,Pot of Gold,promo,display_name
car_972d97a3a898,cards_lua,lua,,card=Pot of Gold;field=effect_text;set=promo,"When you play this, draw a card.  When you play a Leprechaun, gain 1H.","当你 打出此, 抽一张牌. 当你 打出小矮妖, 获得1荣誉.",draft,,Pot of Gold,promo,effect_text
car_1e1844caac1a,cards_lua,lua,,"card=Miles, Golden Prodigy;field=display_name;set=promo","Miles, Golden Prodigy",黄金神童迈尔斯,draft,,"Miles, Golden Prodigy",promo,display_name
car_98562aa843c1,cards_lua,lua,,"card=Miles, Golden Prodigy;field=effect_text;set=promo","Draw a card. Whenever you play a card of another faction this turn, draw a card. This only happens once per faction.","抽一张牌. 每当你 打出卡牌的 另一派系本回合, 抽一张牌. 每个派系仅触发一次.",draft,,"Miles, Golden Prodigy",promo,effect_text
car_4a83dcc1c735,cards_lua,lua,,card=Control Room;field=display_name;set=promo,Control Room,控制室,draft,,Control Room,promo,display_name
car_a1eb19394507,cards_lua,lua,,card=Control Room;field=effect_text;set=promo,"Once per turn, you may put a Mechana Construct you control on top of the center deck.
If you do, acquire a Mechana Construct in the center row and put it in your hand.","每回合一次，你可以将你控制的一件机械神器放在传送门牌库顶.
若你如此做，获取中央牌列的机械神器，并将其放入你的手牌.",draft,pass6;pass13,Control Room,promo,effect_text
car_8055bbb3b190,cards_lua,lua,,card=Soul Collector;field=display_name;set=promo,Soul Collector,集魂者,draft,,Soul Collector,promo,display_name
car_2aed034593d5,cards_lua,lua,,card=Soul Collector;field=effect_text;set=promo,"Once per turn, add a Soul counter to this if you've defeated a Monster in the center row.
Once per turn, gain power equal to the number of Soul counters on this.","每回合一次，若你本回合已在中央牌列击败怪物，在此牌上放置一枚灵魂指示物。
每回合一次，获得等同于此牌上灵魂指示物数量的战力。",draft,pass4,Soul Collector,promo,effect_text
car_75d437e674eb,cards_lua,lua,,card=Arha Sanctuary;field=display_name;set=promo,Arha Sanctuary,亚哈圣所,draft,,Arha Sanctuary,promo,display_name
car_ea41f9693ad9,cards_lua,lua,,card=Arha Sanctuary;field=effect_text;set=promo,"When this enters play, put the top card of your deck under this face up.
Once per turn, you may swap a card in your hand for the card under Arha Sanctuary.
When Arha Sanctuary leaves play of the game ends, put the card under it into your discard pile.","当此牌进入战场时，将你牌库顶的一张牌正面朝上放在此牌下方。
每回合一次，你可以用手牌中的一张牌与亚哈圣所下方的牌交换。
当亚哈圣所离开战场或对局结束时，将其下方的牌置入你的弃牌堆。",draft,qa_pass2,Arha Sanctuary,promo,effect_text
car_a017955198b6,cards_lua,lua,,card=Moon Staff;field=display_name;set=promo,Moon Staff,月杖,draft,,Moon Staff,promo,display_name
car_7d2176eb899a,cards_lua,lua,,card=Moon Staff;field=effect_text;set=promo,"Once per turn, you may spend 4R to double your power.",每回合一次，你可以花费 4符文以 使你的战力翻倍.,draft,,Moon Staff,promo,effect_text
car_be8a54be86a3,cards_lua,lua,,card=Constricting Horror;field=display_name;set=promo,Constricting Horror,绞杀恐魔,draft,,Constricting Horror,promo,display_name
car_d44bccffb6a5,cards_lua,lua,,card=Constricting Horror;field=effect_text;set=promo,Reward: Gain 4H. Reveal cards from the center deck until you reveal a Hero. Acquire that Hero without paying its cost and banish each other card revealed this way.,奖励：获得4荣誉. 展示卡牌从中央牌库直到你 展示英雄. 获取该 英雄无需支付费用和 放逐每个其他卡牌已展示以此方式.,draft,,Constricting Horror,promo,effect_text
car_9098df74e352,cards_lua,lua,,card=Big Bad Bunny;field=display_name;set=promo,Big Bad Bunny,大坏兔子,draft,,Big Bad Bunny,promo,display_name
car_cf44547a1564,cards_lua,lua,,card=Big Bad Bunny;field=effect_text;set=promo,FATE: Place a card from the center deck facedown under this and each other card in the center row. ,天命：从中央牌库取一张牌正面朝下置于此牌下方，并对中央牌列每张其他牌各如此做一次。,draft,pass4,Big Bad Bunny,promo,effect_text
car_947079bfef30,cards_lua,lua,,card=Lotus Siren;field=display_name;set=promo,Lotus Siren,莲花海妖,draft,,Lotus Siren,promo,display_name
car_a0e63cb8bd57,cards_lua,lua,,card=Lotus Siren;field=effect_text;set=promo,"Gain 2R.
Whenever you acquire a Hero or Treasure card from the center row this turn, gain 1H. (Gain honor for each card acquired.)","获得2符文.
每当你获取一个英雄或 宝藏卡牌从中央牌列本回合, 已获取的每张卡牌各获得1荣誉。",draft,pass13,Lotus Siren,promo,effect_text
car_e00b0dea2754,cards_lua,lua,,card=Aether Channeler;field=display_name;set=promo,Aether Channeler,以太引导者,draft,,Aether Channeler,promo,display_name
car_08f5d0d38f81,cards_lua,lua,,card=Aether Channeler;field=effect_text;set=promo,Banish a card from your hand.  Replace it with a random hero and put it in your hand.,放逐一张手牌。用一张随机英雄替换它，并将该英雄放入你的手牌。,draft,qa_pass2,Aether Channeler,promo,effect_text
car_29c482c31e54,cards_lua,lua,,card=Spirit of the Ancients;field=display_name;set=promo,Spirit of the Ancients,上古之灵,draft,,Spirit of the Ancients,promo,display_name
car_9050a3f31378,cards_lua,lua,,card=Spirit of the Ancients;field=effect_text;set=promo,Choose a Lifebound Hero that hasn't been chosen with this before. This card counts as a copy of that Hero.,选择一张尚未被此牌选过的命约英雄。此牌视为该英雄的复制。,draft,pass4,Spirit of the Ancients,promo,effect_text
car_a95d89ffb2f5,cards_lua,lua,,card=Temporal Excavator;field=display_name;set=promo,Temporal Excavator,时光发掘者,draft,,Temporal Excavator,promo,display_name
car_91da16fb6992,cards_lua,lua,,card=Temporal Excavator;field=effect_text;set=promo,:  Add one card and if it is already there then banish it and replace it.,加入一张牌；若该处已有牌，则放逐它并替换。,draft,pass4,Temporal Excavator,promo,effect_text
car_d838878bd212,cards_lua,lua,,card=Eternal Tormentor;field=display_name;set=promo,Eternal Tormentor,永恒折磨者,draft,,Eternal Tormentor,promo,display_name
car_a776e6e65940,cards_lua,lua,,card=Eternal Tormentor;field=effect_text;set=promo,Defeat a random Monster in the void without paying its costs and put it on the bottom of the center deck.,击败一个随机怪物在 虚空区无需支付费用s和将它放置置于其底： 传送门牌库.,draft,,Eternal Tormentor,promo,effect_text
car_8d2464e12a3a,cards_lua,lua,,card=Explosive Swarm;field=display_name;set=promo,Explosive Swarm,爆裂虫群,draft,,Explosive Swarm,promo,display_name
car_2fca9b3ca027,cards_lua,lua,,card=Explosive Swarm;field=effect_text;set=promo,"Reward: Gain 4H. When an adjacent non-Monster card would be replaced,replace it with a copy of this Monster instead",奖励：获得 4 荣誉。当相邻的非怪物卡牌将被替换时，改为用此怪物的复制替换它。,draft,pass4,Explosive Swarm,promo,effect_text
car_388e07e21e78,cards_lua,lua,,card=Portal;field=display_name;set=promo,Portal,传送门,draft,,Portal,promo,display_name
car_a7be40fa9509,cards_lua,lua,,card=Portal;field=effect_text;set=promo,This is any hero or construct that could be found in the center deck of any Ascension set. You never know what you're going to get!,此为任意创升纪元系列中央牌库中可能出现的英雄或神器。你永远不知道会得到什么！,draft,qa_pass2,Portal,promo,effect_text
car_617874b094a4,cards_lua,lua,,card=Aether Curator;field=display_name;set=promo,Aether Curator,以太策展者,draft,,Aether Curator,promo,display_name
car_729e4d28bf2d,cards_lua,lua,,card=Aether Curator;field=effect_text;set=promo,"Banish a card in the center row. Replace it with a Portal.
",放逐中央牌列的一张牌。用一张传送门替换它。,draft,pass3b,Aether Curator,promo,effect_text
car_9ae8ffe093bc,cards_lua,lua,,card=Aetherspring Witch;field=display_name;set=promo,Aetherspring Witch,以太泉女巫,draft,,Aetherspring Witch,promo,display_name
car_ed84e2bcf5fe,cards_lua,lua,,card=Aetherspring Witch;field=effect_text;set=promo,"Choose one: Gain 3H, or acquire a Portal in the center row without paying its cost.","选择一项：获得3荣誉, 或获取传送门在中央牌列无需支付费用.",draft,pass13,Aetherspring Witch,promo,effect_text
car_37a893e65a6e,cards_lua,lua,,card=Destroyer's Gate;field=display_name;set=promo,Destroyer's Gate,毁灭者之门,draft,,Destroyer's Gate,promo,display_name
car_12b12f3b5d48,cards_lua,lua,,card=Destroyer's Gate;field=effect_text;set=promo,"After a certain amount of time, this transforms into something awesome!",经过一段时间后，此牌会转化成某种很厉害的东西！,draft,,Destroyer's Gate,promo,effect_text
car_710df8857c9b,cards_lua,lua,,card=Aether Ritualist;field=display_name;set=promo,Aether Ritualist,以太祭仪师,draft,,Aether Ritualist,promo,display_name
car_55cf5d8c2e58,cards_lua,lua,,card=Aether Ritualist;field=effect_text;set=promo,"Gain 2P.
The next time you defeat a Monster in the center row this turn, you may acquire a Portal without paying its cost.","获得2战力.
本回合下次你在中央牌列击败怪物时, 你可以无需支付费用获取传送门.",draft,pass13,Aether Ritualist,promo,effect_text
car_495bd3e769df,cards_lua,lua,,card=Tollmaster Ky'lek;field=display_name;set=promo,Tollmaster Ky'lek,税吏凯莱克,draft,,Tollmaster Ky'lek,promo,display_name
car_3ab14a46970d,cards_lua,lua,,card=Tollmaster Ky'lek;field=effect_text;set=promo,"FATE: Banish all other cards in the center row and replace them with Portals.
",天命： 放逐所有其他卡牌在中央牌列和 将它们替换以 传送门.,draft,,Tollmaster Ky'lek,promo,effect_text
car_2fa23e41f6ce,cards_lua,lua,,card=Defender of Vigil;field=display_name;set=promo,Defender of Vigil,防御者祈夜,draft,,Defender of Vigil,promo,display_name
car_d8876d887e28,cards_lua,lua,,card=Defender of Vigil;field=effect_text;set=promo,"Gain 2R and 2P.
Gain 1R for each Apprentice you play or have played this turn.
Gain 1P for each Militia you play or have played this turn.","获得2符文和 2战力.
本回合你打出或已打出的每张学徒各获得1符文.
本回合你打出或已打出的每张民兵各获得1战力.",draft,pass6;pass13,Defender of Vigil,promo,effect_text
car_49b461a8195a,cards_lua,lua,,"card=David, Prophetic Guide;field=display_name;set=promo","David, Prophetic Guide",大卫·预言向导,draft,,"David, Prophetic Guide",promo,display_name
car_5cdbdc96c061,cards_lua,lua,,"card=David, Prophetic Guide;field=effect_text;set=promo","Draw three card, then put two cards from your hand on top of your deck in any order.","抽三 卡牌, 然后放置两 卡牌从你的手牌放到你的牌库顶在 任意秩序.",draft,,"David, Prophetic Guide",promo,effect_text
car_3ed861db8452,cards_lua,lua,,card=Eye of Potential;field=display_name;set=promo,Eye of Potential,潜能之眼,draft,,Eye of Potential,promo,display_name
car_3ccbacaa8a47,cards_lua,lua,,card=Eye of Potential;field=effect_text;set=promo,"Once per turn, you may banish a card in your hand. If you do, acquire a Mystic or Heavy Infantry without paying its cost and put it in your hand.",每回合一次，你可以从你的手牌放逐一张卡牌. 若你如此做，无需支付费用获取秘教士或重装步兵，并将其放入你的手牌.,draft,pass6;pass13,Eye of Potential,promo,effect_text
car_431eb05ba102,cards_lua,lua,,"card=Forrest, Beastwarden;field=display_name;set=promo","Forrest, Beastwarden",福雷斯特·兽卫,draft,,"Forrest, Beastwarden",promo,display_name
car_4672dfeee6b5,cards_lua,lua,,"card=Forrest, Beastwarden;field=effect_text;set=promo","Gain 2R.
Once this turn, you may acquire a Hero in the void as though it were in the center row.","获得2符文.
本回合一次， 你可以获取一个英雄在 虚空区视为在中央牌列.",draft,pass11,"Forrest, Beastwarden",promo,effect_text
car_3da7e3ccd320,cards_lua,lua,,card=Lunar Matriarch;field=display_name;set=promo,Lunar Matriarch,月女族长,draft,,Lunar Matriarch,promo,display_name
car_bdfb1258acf8,cards_lua,lua,,card=Lunar Matriarch;field=effect_text;set=promo,"Gain 5H.
Once this turn, you may pay up to 5R to gain that much H.","获得5荣誉.
本回合一次， 你可以支付至多 5符文以 获得该等量的H.",draft,pass11,Lunar Matriarch,promo,effect_text
car_3ae23b604202,cards_lua,lua,,card=N.I.N.E.;field=display_name;set=promo,N.I.N.E.,N.I.N.E.,draft,,N.I.N.E.,promo,display_name
car_39b9bbdf0ea8,cards_lua,lua,,card=N.I.N.E.;field=effect_text;set=promo,"Gain 2R.
When you play a Mechana Construct, you may return this from your discard pile to your hand. (Cards played during your turn do not go to your discard pile until the end of the turn.)","获得2符文.
当你 打出机械神器, 你可以将此牌返回从 你的弃牌堆以 你的手牌. (卡牌打出过在你的回合中不 进入以 你的弃牌堆直到结束时回合.)",draft,pass6,N.I.N.E.,promo,effect_text
car_388f3b51f817,cards_lua,lua,,card=Tinkering Monk;field=display_name;set=promo,Tinkering Monk,摆弄僧侣,draft,,Tinkering Monk,promo,display_name
car_7063b1005e43,cards_lua,lua,,card=Tinkering Monk;field=effect_text;set=promo,"Gain 2R.
You may have each player gain H equal to the number of Mechana Constructs they control.","获得2符文.
你可以拥有每位玩家获得H等同于 数量为机械神器其控制的.",draft,pass6,Tinkering Monk,promo,effect_text
car_9e6aa902c4c9,cards_lua,lua,,card=Ethereal Huntress;field=display_name;set=promo,Ethereal Huntress,空灵女猎手,draft,,Ethereal Huntress,promo,display_name
car_034c088326b3,cards_lua,lua,,card=Ethereal Huntress;field=effect_text;set=promo,"Gain 3P.
You may put a Monster from the Void on top of the center deck.","获得3战力.
你可以放置怪物从虚空区在 顶部的 传送门牌库.",draft,,Ethereal Huntress,promo,effect_text
car_b088a06208dc,cards_lua,lua,,card=Chaos Rider;field=display_name;set=promo,Chaos Rider,混沌骑手,draft,,Chaos Rider,promo,display_name
car_4d07f88fa32d,cards_lua,lua,,card=Chaos Rider;field=effect_text;set=promo,"Gain 3P.
You may return a Void card from your discard pile to your hand.","获得3战力.
你可以返回虚空卡牌从 你的弃牌堆以 你的手牌.",draft,,Chaos Rider,promo,effect_text
car_688d5ab4ded1,cards_lua,lua,,"card=Nova, Born of Chaos;field=display_name;set=promo","Nova, Born of Chaos",诺娃·混沌所生,draft,,"Nova, Born of Chaos",promo,display_name
car_76810533301e,cards_lua,lua,,"card=Nova, Born of Chaos;field=effect_text;set=promo","Reward: All players return all honor tokens to the honor pool. If the game would end this round, it does not end.
Gain 10H.","奖励：所有玩家将全部荣誉标记返还荣誉池。若本轮本应结束游戏，则游戏不结束。
获得 10 荣誉。",draft,qa_pass2,"Nova, Born of Chaos",promo,effect_text
car_b36214cc4392,cards_lua,lua,,card=Stone Blade Templar;field=display_name;set=promo,Stone Blade Templar,石刃圣殿武士,draft,,Stone Blade Templar,promo,display_name
car_9fe57b91f417,cards_lua,lua,,card=Stone Blade Templar;field=effect_text;set=promo,"Reveal and banish the top card of the Center Deck. If its faction is:
Enlightened: Draw two cards.
Lifebound: Gain 3 Honor.
Mechana: Gain 2 Runes.
Void: Gain 2 Power.
No Faction: Choose one of the effects above.","展示并放逐传送门牌库顶的牌. 若其 派系为:
圣贤: 抽两张牌.
命约: 获得3 荣誉.
机械: 获得2 符文.
虚空: 获得2 战力.
无派系： 选择一 的效果上方.",draft,pass5;pass6,Stone Blade Templar,promo,effect_text
car_9d1ac8099a54,cards_lua,lua,,card=Spire of the Wind;field=display_name;set=promo,Spire of the Wind,尖塔风,draft,,Spire of the Wind,promo,display_name
car_fb506edab795,cards_lua,lua,,card=Spire of the Wind;field=effect_text;set=promo,"Once per turn, you may discard card from your hand to draw a card.If it is a Mystic or Heavy Infantry, draw 2 cards instead.","每回合一次，你可以弃掉卡牌从你的手牌以 抽一张牌.若它 为秘教士或 重装步兵, 抽 2 张牌改为.",draft,pass6,Spire of the Wind,promo,effect_text
car_7469985b4f5a,cards_lua,lua,,card=Seed of the World;field=display_name;set=promo,Seed of the World,种子世界,draft,,Seed of the World,promo,display_name
car_f5e6f95251b6,cards_lua,lua,,card=Seed of the World;field=effect_text;set=promo,"Once per turn, when you acquire a Hero in the Center Row,gain Honor equal to its Honor value.","每回合一次，当你获取一个英雄在 中央牌列,获得荣誉等同于 其荣誉值.",draft,pass6;pass13,Seed of the World,promo,effect_text
car_87a858f5e899,cards_lua,lua,,card=Chaotic Cannon;field=display_name;set=promo,Chaotic Cannon,混沌加农,draft,,Chaotic Cannon,promo,display_name
car_33cc74223176,cards_lua,lua,,card=Chaotic Cannon;field=effect_text;set=promo,"Once per turn, discard the top card of your deck to gain Power equal to its Honor value.If it is a Mechana Construct, put it in your hand instead.","每回合一次，弃掉你牌库顶的卡牌以 获得战力等同于 其荣誉值.若它 为机械神器, 将其放入你的手牌改为.",draft,pass6,Chaotic Cannon,promo,effect_text
car_7c52c0e2aa24,cards_lua,lua,,card=The Aethermourne;field=display_name;set=promo,The Aethermourne,以太哀歌,draft,,The Aethermourne,promo,display_name
car_1db44360720f,cards_lua,lua,,card=The Aethermourne;field=effect_text;set=promo,"Once per turn, gain Power equal to the number of Monsters in the Center Row.",每回合一次，获得战力等同于 数量为怪物在 中央牌列.,draft,pass6,The Aethermourne,promo,effect_text
car_0ee579938d05,cards_lua,lua,,card=Puggageddon;field=display_name;set=promo,Puggageddon,巴哥末日,draft,,Puggageddon,promo,display_name
car_e1cdc8bcbadc,cards_lua,lua,,card=Puggageddon;field=effect_text;set=promo,"Reward: Gain 2 Honor. Put this into another player's discard pile. When this is played from your hand, gain 1 Honor and put it into another player's discard pile.","奖励：获得2 荣誉. 放置此 置入另一玩家之弃牌堆. 当此 为打出过从你的手牌, 获得1 荣誉和 将其放入另一玩家之弃牌堆.",draft,pass6,Puggageddon,promo,effect_text
car_b689fdc7bce0,cards_lua,lua,,card=Twilight Scout;field=display_name;set=WoS,Twilight Scout,暮光斥候,draft,,Twilight Scout,WoS,display_name
car_cd95df57f47d,cards_lua,lua,,card=Twilight Scout;field=effect_text;set=WoS,"Draw a card.
",抽一张牌.,draft,,Twilight Scout,WoS,effect_text
car_0077c0a601ca,cards_lua,lua,,card=Inspired Templar;field=display_name;set=WoS,Inspired Templar,受启圣殿武士,draft,,Inspired Templar,WoS,display_name
car_b75edef206ef,cards_lua,lua,,card=Inspired Templar;field=effect_text;set=WoS,"Defeat a Monster with cost 4P or less without paying its cost.
",击败一个怪物以 费用 4战力或更低无需支付费用.,draft,,Inspired Templar,WoS,effect_text
car_1f05b9fd303c,cards_lua,lua,,card=Pillar of Resolve;field=display_name;set=WoS,Pillar of Resolve,柱决意,draft,,Pillar of Resolve,WoS,display_name
car_c41f69180c24,cards_lua,lua,,card=Pillar of Resolve;field=effect_text;set=WoS,"Once per turn, if you have played a Mystic and a Heavy Infantry, draw two cards.","每回合一次，若你 已打出秘教士和 重装步兵, 抽两张牌.",draft,pass6,Pillar of Resolve,WoS,effect_text
car_a04539065ebf,cards_lua,lua,,"card=Ta'hyr, the Sun;field=display_name;set=WoS","Ta'hyr, the Sun",塔希尔·太阳,draft,,"Ta'hyr, the Sun",WoS,display_name
car_70af2ae83617,cards_lua,lua,,"card=Ta'hyr, the Sun;field=effect_text;set=WoS","If all cards in the center row are DAY cards, ",若中央牌列的所有卡牌都是昼卡，,draft,pass3b,"Ta'hyr, the Sun",WoS,effect_text
car_d305237ebf53,cards_lua,lua,,card=Shrine Attendant;field=display_name;set=WoS,Shrine Attendant,神龛侍从,draft,,Shrine Attendant,WoS,display_name
car_7bb3fbf66c4a,cards_lua,lua,,card=Shrine Attendant;field=effect_text;set=WoS,Add a Mystic or Heavy Infantry to your hand.,加入秘教士或 重装步兵以 你的手牌.,draft,,Shrine Attendant,WoS,effect_text
car_42f220c1c339,cards_lua,lua,,card=Searing Askara;field=display_name;set=WoS,Searing Askara,灼热阿斯卡拉,draft,,Searing Askara,WoS,display_name
car_704db78c7dfd,cards_lua,lua,,card=Searing Askara;field=effect_text;set=WoS,Banish a card in the center row. Then you may acquire a card with cost 3R or less without paying its cost.,放逐中央牌列的一张卡牌. 然后你可以无需支付费用获取费用为 3 符文或更低的卡牌.,draft,pass13,Searing Askara,WoS,effect_text
car_068fe6dfc2c8,cards_lua,lua,,card=Arha Historian;field=display_name;set=WoS,Arha Historian,亚哈史官,draft,,Arha Historian,WoS,display_name
car_4338a845d40e,cards_lua,lua,,card=Arha Historian;field=effect_text;set=WoS,"Draw a card. If you play or have played a Mystic or Heavy Infantry this turn, draw an additional card.","抽一张牌. 若你打出或已打出秘教士或 重装步兵本回合, 额外抽一张牌.",draft,pass6,Arha Historian,WoS,effect_text
car_5d82423d625e,cards_lua,lua,,card=Bringer of Hope;field=display_name;set=WoS,Bringer of Hope,带来者希望,draft,,Bringer of Hope,WoS,display_name
car_002536c6d3a0,cards_lua,lua,,card=Bringer of Hope;field=effect_text;set=WoS,"Banish a card in your hand. If you do, add a Mystic AND a Heavy Infantry to your hand.",从你的手牌放逐一张卡牌. 若你如此做，将秘教士和重装步兵加入你的手牌.,draft,pass13,Bringer of Hope,WoS,effect_text
car_2157796cb395,cards_lua,lua,,card=Sunstreak Courier;field=display_name;set=WoS,Sunstreak Courier,日迹信使,draft,,Sunstreak Courier,WoS,display_name
