id,domain,set,en_hash,en,zh,status,waived_reason,source_file
"cards_effect:CotG10:Kor, the Ferromancer 10TH",cards_effect,CotG10,74a99d1a0ff0,"Kor, the Ferromancer 10TH",获得2战力. 抽一张牌若 你控制的 2 或更高神器s.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Landtalker 10TH,cards_effect,CotG10,2842b7686792,Landtalker 10TH,获得3符文。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Lifebound Initiate 10TH,cards_effect,CotG10,1677933d447a,Lifebound Initiate 10TH,获得1符文和1荣誉。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Master Dhartha 10TH,cards_effect,CotG10,2aead8795702,Master Dhartha 10TH,抽三张牌。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Mechana Initiate 10TH,cards_effect,CotG10,b67634413ba8,Mechana Initiate 10TH,获得1符文或1战力。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Mephit 10TH,cards_effect,CotG10,b60e9fcf3e52,Mephit 10TH,奖励：获得2荣誉。你可以放逐中央牌列中的一张卡牌。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Mistake of Creation 10TH,cards_effect,CotG10,88b35bb3cfb1,Mistake of Creation 10TH,奖励：获得4荣誉。你可以放逐中央牌列和/或你弃牌堆中的一张卡牌。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Muramasa 10TH,cards_effect,CotG10,e927e4558041,Muramasa 10TH,每回合一次，获得3战力。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Oziah the Peerless 10TH,cards_effect,CotG10,3af705aaa728,Oziah the Peerless 10TH,击败一个战力值不高于6的怪物。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Reactor Monk 10TH,cards_effect,CotG10,99cca7f0cae6,Reactor Monk 10TH,获得2符文。你本回合下一张获取的神器费用减少1符文。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Rocket Courier X-99 10TH,cards_effect,CotG10,c9e4f4641783,Rocket Courier X-99 10TH,每回合一次，当你获取另一张机械神器时，你可以将其直接进入战场。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Runic Lycanthrope 10TH,cards_effect,CotG10,d90ccc900297,Runic Lycanthrope 10TH,获得2符文。若你本回合打出过命约英雄，获得2战力。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Samael's Trickster 10TH,cards_effect,CotG10,e2e4a876467f,Samael's Trickster 10TH,奖励：获得1荣誉。获得1符文。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Sea Tyrant 10TH,cards_effect,CotG10,7d5bf441a0ba,Sea Tyrant 10TH,奖励：获得5荣誉。每位对手须选择一张其控制的神器，将其余神器置入弃牌堆。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Seer of the Forked Path 10TH,cards_effect,CotG10,18a4be0badb2,Seer of the Forked Path 10TH,抽一张牌。然后你可以放逐中央牌列中的一张卡牌。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Shade of the Black Watch 10TH,cards_effect,CotG10,0ecdbd0a64d4,Shade of the Black Watch 10TH,获得2战力。你可以放逐一张手牌或弃牌堆中的卡牌。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Shadow Star 10TH,cards_effect,CotG10,51a797a3240c,Shadow Star 10TH,每回合一次，获得1战力。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Snapdragon 10TH,cards_effect,CotG10,828f767ae22c,Snapdragon 10TH,每回合一次，获得1符文。每回合你首次打出命约英雄时，获得1荣誉。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Spike Vixen 10TH,cards_effect,CotG10,2d879ef59c13,Spike Vixen 10TH,获得1战力。抽一张牌。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Tablet of Time's Dawn 10TH,cards_effect,CotG10,ef4cf1c72341,Tablet of Time's Dawn 10TH,放逐此神器，然后在本回合后再进行一个额外回合。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Temple Librarian 10TH,cards_effect,CotG10,fea385f1a4fd,Temple Librarian 10TH,弃一张牌。若你如此做，抽两张牌。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:The All-Seeing Eye 10TH,cards_effect,CotG10,7d9d05352171,The All-Seeing Eye 10TH,每回合一次，你可以抽一张牌。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:The Grand Design 10TH,cards_effect,CotG10,581fd18202b3,The Grand Design 10TH,每回合一次，获得2符文。你只能用它来获取机械神器。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Tormented Soul 10TH,cards_effect,CotG10,19bf8f7da774,Tormented Soul 10TH,奖励：获得1荣誉。抽一张牌。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Twofold Askara 10TH,cards_effect,CotG10,cd2eca1c5a8b,Twofold Askara 10TH,复制本回合打出的一张英雄的效果。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Void Initiate 10TH,cards_effect,CotG10,b3a6796cabec,Void Initiate 10TH,获得1符文。你可以放逐一张手牌或弃牌堆中的卡牌。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Voidthirster 10TH,cards_effect,CotG10,9b67b2842731,Voidthirster 10TH,每回合一次，获得1战力。每回合你首次击败中央牌列中的怪物时，获得1荣誉。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Watchmaker's Altar 10TH,cards_effect,CotG10,82e4063ea119,Watchmaker's Altar 10TH,每回合一次，获得1符文。你只能用它来获取机械神器。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Wind Tyrant 10TH,cards_effect,CotG10,e61a2b562b4c,Wind Tyrant 10TH,奖励：获得3荣誉。获得3符文。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Wolf Shaman 10TH,cards_effect,CotG10,8e73943ee388,Wolf Shaman 10TH,获得1符文。抽一张牌。,reviewed,,loc/zh-Hans/lua_cards.csv
"cards_effect:CotG10:Xeron, Duke of Lies 10TH",cards_effect,CotG10,16d9798ceebe,"Xeron, Duke of Lies 10TH",奖励：获得3荣誉. 拿取一张卡牌随机从 每位对手之手牌和 将该卡牌加入以 你的手牌.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Yggdrasil Staff 10TH,cards_effect,CotG10,8dfeb359cb85,Yggdrasil Staff 10TH,每回合一次，获得1战力。若你本回合打出过命约英雄，获得2荣誉。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Arbiter of the Precipice,cards_effect,CotG,645009e702df,Arbiter of the Precipice,抽两张牌。然后放逐你手牌中的一张卡牌。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Arha Initiate,cards_effect,CotG,95da2c985c7d,Arha Initiate,抽一张牌。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Arha Templar,cards_effect,CotG,b7befaa2a71f,Arha Templar,击败一个战力值不高于4的怪物。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Ascetic of the Lidless Eye,cards_effect,CotG,592d36057f60,Ascetic of the Lidless Eye,抽两张牌。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Avatar Golem,cards_effect,CotG,511745c3b6d5,Avatar Golem,获得2战力。你每控制一种神器，获得1荣誉。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Avatar of the Fallen,cards_effect,CotG,de9b3be7266b,Avatar of the Fallen,除非被击败，否则此怪物不可被放逐。奖励：获得4荣誉。你可以无需支付费用获取或击败中央牌列中的任意一张卡牌。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Burrower Mark II,cards_effect,CotG,077f9bd55fcf,Burrower Mark II,每回合你首次将机械神器进入战场时（包括此牌），抽一张牌。,reviewed,,loc/zh-Hans/lua_cards.csv
"cards_effect:CotG:Cetra, Weaver of Stars",cards_effect,CotG,d8005c6366fa,"Cetra, Weaver of Stars",获取任意一个英雄。将其放到你的牌库顶。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Corrosive Widow,cards_effect,CotG,c30e7034de77,Corrosive Widow,奖励：获得3荣誉。每位对手须将其控制的一张神器置入弃牌堆。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Demon Slayer,cards_effect,CotG,08007ef2d8e6,Demon Slayer,获得3战力。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Druids of the Stone Circle,cards_effect,CotG,c00e8cca16f8,Druids of the Stone Circle,无需支付费用获取一个费用不高于3符文的英雄。将其放到你的牌库顶。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Earth Tyrant,cards_effect,CotG,bff93b453395,Earth Tyrant,奖励：获得5荣誉。抽两张牌。,reviewed,,loc/zh-Hans/lua_cards.csv
"cards_effect:CotG:Emri, One with the Void",cards_effect,CotG,30beee0527af,"Emri, One with the Void",获得4战力。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Flytrap Witch,cards_effect,CotG,8cef395af479,Flytrap Witch,获得2荣誉。抽一张牌。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Hedron Cannon,cards_effect,CotG,08e805fa8578,Hedron Cannon,每回合一次，你每控制一个机械神器，获得1战力。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Hedron Link Device,cards_effect,CotG,fc9f53eb661e,Hedron Link Device,你可以将所有神器视为机械神器。,reviewed,,loc/zh-Hans/lua_cards.csv
"cards_effect:CotG:Kor, the Ferromancer",cards_effect,CotG,4675fb7eeb83,"Kor, the Ferromancer",获得2战力. 抽一张牌若 你控制的 2 或更高神器s.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Landtalker,cards_effect,CotG,7682262176f0,Landtalker,获得3符文。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Lifebound Initiate,cards_effect,CotG,9269ecbe1ad8,Lifebound Initiate,获得1符文和1荣誉。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Master Dhartha,cards_effect,CotG,458d9787b6e0,Master Dhartha,抽三张牌。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Mechana Initiate,cards_effect,CotG,033dda144ae0,Mechana Initiate,获得1符文或1战力。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Mephit,cards_effect,CotG,558cabc64720,Mephit,奖励：获得2荣誉。你可以放逐中央牌列中的一张卡牌。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Mistake of Creation,cards_effect,CotG,0346c570c395,Mistake of Creation,奖励：获得4荣誉。你可以放逐中央牌列和/或你弃牌堆中的一张卡牌。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Muramasa,cards_effect,CotG,04ea2f250c83,Muramasa,每回合一次，获得3战力。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Oziah the Peerless,cards_effect,CotG,c8980068f915,Oziah the Peerless,击败一个战力值不高于6的怪物。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Reactor Monk,cards_effect,CotG,704f4157b10e,Reactor Monk,获得2符文。你本回合下一张获取的神器费用减少1符文。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Rocket Courier X-99,cards_effect,CotG,4b3b7d1cbd52,Rocket Courier X-99,每回合一次，当你获取另一张机械神器时，你可以将其直接进入战场。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Runic Lycanthrope,cards_effect,CotG,58e8ec79471d,Runic Lycanthrope,获得2符文。若你本回合打出过命约英雄，获得2战力。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Samael's Trickster,cards_effect,CotG,3911da7af4ba,Samael's Trickster,奖励：获得1荣誉。获得1符文。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Sea Tyrant,cards_effect,CotG,852017d48ff5,Sea Tyrant,奖励：获得5荣誉。每位对手须选择一张其控制的神器，将其余神器置入弃牌堆。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Seer of the Forked Path,cards_effect,CotG,06d4ce9120a6,Seer of the Forked Path,抽一张牌。然后你可以放逐中央牌列中的一张卡牌。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Shade of the Black Watch,cards_effect,CotG,d393b879c91c,Shade of the Black Watch,获得2战力。你可以放逐一张手牌或弃牌堆中的卡牌。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Shadow Star,cards_effect,CotG,d258551e2fa1,Shadow Star,每回合一次，获得1战力。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Snapdragon,cards_effect,CotG,fbf388bebcb2,Snapdragon,每回合一次，获得1符文。每回合你首次打出命约英雄时，获得1荣誉。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Spike Vixen,cards_effect,CotG,964a7f0422c6,Spike Vixen,获得1战力。抽一张牌。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Tablet of Time's Dawn,cards_effect,CotG,c151a704db64,Tablet of Time's Dawn,放逐此神器，然后在本回合后再进行一个额外回合。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Temple Librarian,cards_effect,CotG,11706df1cb57,Temple Librarian,弃一张牌。若你如此做，抽两张牌。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:The All-Seeing Eye,cards_effect,CotG,64b8a14ca98a,The All-Seeing Eye,每回合一次，你可以抽一张牌。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:The Grand Design,cards_effect,CotG,77130905dd97,The Grand Design,每回合一次，获得2符文。你只能用它来获取机械神器。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Tormented Soul,cards_effect,CotG,879232a0bd17,Tormented Soul,奖励：获得1荣誉。抽一张牌。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Twofold Askara,cards_effect,CotG,85190a9596ce,Twofold Askara,复制本回合打出的一张英雄的效果。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Void Initiate,cards_effect,CotG,fd6a8fce337b,Void Initiate,获得1符文。你可以放逐一张手牌或弃牌堆中的卡牌。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Voidthirster,cards_effect,CotG,368838fba3b9,Voidthirster,每回合一次，获得1战力。每回合你首次击败中央牌列中的怪物时，获得1荣誉。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Watchmaker's Altar,cards_effect,CotG,c49185e99df1,Watchmaker's Altar,每回合一次，获得1符文。你只能用它来获取机械神器。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Wind Tyrant,cards_effect,CotG,38bcab0a945f,Wind Tyrant,奖励：获得3荣誉。获得3符文。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Wolf Shaman,cards_effect,CotG,bb5fad14a444,Wolf Shaman,获得1符文。抽一张牌。,reviewed,,loc/zh-Hans/lua_cards.csv
"cards_effect:CotG:Xeron, Duke of Lies",cards_effect,CotG,c20c35dd8081,"Xeron, Duke of Lies",奖励：获得3荣誉. 拿取一张卡牌随机从 每位对手之手牌和 将该卡牌加入以 你的手牌.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG:Yggdrasil Staff,cards_effect,CotG,d887989ae150,Yggdrasil Staff,每回合一次，获得1战力。若你本回合打出过命约英雄，获得2荣誉。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:DS:Alluring Shaman,cards_effect,DS,887a75833888,Alluring Shaman,获得1符文.\r\n你可以支付 1洞察以 获得3荣誉.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:DS:Arbiter's Censer,cards_effect,DS,05e983d35ac3,Arbiter's Censer,"当你 击败一个怪物在中央牌列, 获得2荣誉.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:DS:Arha Sensei DS,cards_effect,DS,3307c1ff3bc7,Arha Sensei DS,放逐一张卡牌在你的手牌中. 若你如此做，获取秘教士或 重装步兵无需支付费用. 加入它以 你的手牌.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:DS:Armistice,cards_effect,DS,4be62d8ae504,Armistice,每位玩家弃掉其 手牌和 抽五 卡牌.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:DS:Ashes to Ashes,cards_effect,DS,b616d68666dc,Ashes to Ashes,放逐所有卡牌在中央牌列.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:DS:Askaran Armor,cards_effect,DS,b3727477b0c1,Askaran Armor,"每回合一次，当你 获取卡牌从 你的梦境, 你可以将一张卡牌加入你的梦境.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:DS:Aura of the Askara,cards_effect,DS,5b60a9a3d9f1,Aura of the Askara,"若你打出过两 圣贤英雄以 同名本回合, 你可以获取此 无需支付费用.\r\nONGOING: 每回合一次，你可以复制效果的 英雄你 拥有打出过本回合.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:DS:Auspicious Askara,cards_effect,DS,7c4556b4f514,Auspicious Askara,抽一张牌.\r\n联合： 你可以放逐一张卡牌在中央牌列.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:DS:Berserker Frenzy,cards_effect,DS,407aa4166ea8,Berserker Frenzy,"若你 拥有被击败三 或更高怪物在中央牌列本回合, 你可以获取此 无需支付费用.\r\n获得10荣誉.\r\nONGOING: 每回合一次，当你 击败一个怪物, 双倍其H reward.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:DS:Brainstorm Sentry,cards_effect,DS,a3f18489b99c,Brainstorm Sentry,获得1符文和 1战力以 每个机械神器你控制的.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:DS:Bringer of Despair,cards_effect,DS,7f9e13b819dc,Bringer of Despair,获得2战力.\r\n联合： Double你的P.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:DS:Call of Darkness,cards_effect,DS,50f117ee62cc,Call of Darkness,放逐至多 5 卡牌在你的手牌或弃牌堆.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:DS:Caustic Conjurer,cards_effect,DS,be9c26e4e2f4,Caustic Conjurer,获得1洞察.\r\n你可以放逐一张卡牌在你的手牌或弃牌堆.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:DS:Cetra's Respite,cards_effect,DS,c5499a48e839,Cetra's Respite,获取一个英雄在中央牌列无需支付费用.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:DS:Chaos Cannon,cards_effect,DS,d65ed804d8c2,Chaos Cannon,每回合一次，你可以支付 5洞察以 获得10战力. 你可以支付 1洞察更低以use此异能以 每个其他机械神器你控制的.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:DS:Chronicle of Vigil,cards_effect,DS,19d35e9da34e,Chronicle of Vigil,每回合一次，获得1荣誉以 每个派系在你控制的神器之中. (此卡牌具有没有派系.),draft,,loc/zh-Hans/lua_cards.csv
cards_effect:DS:Deluding Djinn,cards_effect,DS,884ef4873425,Deluding Djinn,奖励： 获得5荣誉.\r\n你可以花费I视为P以击败此.,draft,,loc/zh-Hans/lua_cards.csv
